day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2023-07-14,0.646829457,96935737.57,4,230.0,148.77077511000002,37.1926937775,3.83684023146181e-05,Retail Orders
2023-07-15,0.646829457,96935737.57,0,0.0,0.0,,,Normal
2023-07-16,0.646829457,96935737.57,0,0.0,0.0,,,Normal
2023-07-17,0.646829457,96935737.57,2,20499792.0,13259869.327972945,6629934.663986472,6.839515363669474,Mega Whale Orders
2023-07-18,0.646829457,96935737.57,27521,13483924.765229369,8721799.734122165,316.9143466488196,0.0003269324137756,Retail Orders
2023-07-19,0.646829457,96935737.57,3563,1423105.1018059398,920506.300255066,258.3514735489941,0.0002665182934853,Retail Orders
2023-07-20,0.612541521,91797248.08,795,444621.5783605127,272349.1778783691,342.5775822369423,0.0003731893813836,Retail Orders
2023-07-21,0.586083439,87832163.21,483,274359.33403824986,160797.46201488725,332.9140000308225,0.0003790342715741,Retail Orders
2023-07-22,0.636432566,95445486.78,546,376409.2005730609,239559.07338672184,438.7528816606627,0.0004596895007429,Retail Orders
2023-07-23,0.62224214,93376590.04,262,87768.53446749994,54613.28071172092,208.4476363042783,0.000223233292429,Retail Orders
2023-07-24,0.597445361,89547284.41,176,193141.507056728,115391.49740759088,655.6335079976755,0.0007321645902692,Normal
2023-07-25,0.530439258,78541343.21,174,213304.7231870412,113145.19909522952,650.2597649151122,0.0008279203516757,Normal
2023-07-26,0.51267894,76854539.53,125,1740409.9172889104,892271.5115611663,7138.17209248933,0.0092878991093336,Small Whale Orders
2023-07-27,0.543408563,81126357.65,94,149357.63591971312,81162.21830820848,863.4278543426434,0.0010643000368236,Normal
2023-07-28,0.557870054,83712007.26,93,171776.13487488526,95828.76163856352,1030.416791812511,0.0012309068024281,Normal
2023-07-29,0.541070253,81181573.57,65,85061.14288220179,46024.05409974208,708.0623707652627,0.0008721959179009,Normal
2023-07-30,0.520036569,78213621.58,65,78249.89440394056,40692.80661043755,626.0431786221161,0.0008004272989478,Normal
2023-07-31,0.505134484,76039185.04,60,60862.361402653325,30743.677522150807,512.3946253691801,0.0006738560192348,Normal
2023-08-01,0.50844733,76300842.19,39,55600.21837654184,28269.78258096963,724.8662200248623,0.000950010772122,Normal
2023-08-02,0.506081381,75728456.97,53,8561948.688504456,4333042.816329474,81755.52483640517,0.1079587886873131,Big Whale Orders
2023-08-03,0.470809084,70626893.97,58,69985.82555160878,32949.96242093672,568.1028003609779,0.0008043717745853,Normal
2023-08-04,0.459825819,69027435.87,39,1064382.484509663,489430.5476689106,12549.50122227976,0.0181804539950091,Small Whale Orders
2023-08-05,0.455571307,68279040.62,46,176176.5215330621,80260.96817753074,1744.8036560332769,0.0025554015407799,Normal
2023-08-06,0.423870986,63637153.15,51,283257.03726813174,120064.43967828176,2354.204699574152,0.0036994186305365,Normal
2023-08-07,0.442910769,66467409.65,24,19158.952508195085,8485.706388639162,353.57109952663177,0.0005319465605601,Normal
2023-08-08,0.421356046,63123747.38,31,1136444.158081937,478847.61694920406,15446.697320942068,0.0244705011379539,Small Whale Orders
2023-08-09,0.421502353,63093374.69,38,82640.99983803628,34833.37588600491,916.6677864738136,0.001452874871534,Normal
2023-08-10,0.424579038,63762319.21,39,29637.93527605356,12583.646047813088,322.65759096956634,0.0005060317676132,Normal
2023-08-11,0.412052776,61757024.95,28,27841.341550790294,11472.102073567285,409.7179311988316,0.0006634353444495,Normal
2023-08-12,0.419833104,63017735.27,29,54009.76792562656,22675.08851453544,781.899603949498,0.0012407611930188,Normal
2023-08-13,0.435983885,65381541.67,33,27368.69291345087,11932.30906377828,361.58512314479634,0.0005530385394853,Normal
2023-08-14,0.425877114,63916386.59,40,40094.94847146965,17075.520941008206,426.88802352520514,0.0006678851016149,Normal
