day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2023-01-31,0.65148368,235348890.1,1,3000000000.0,1954451040.0,1954451040.0,830.4483777975548,Mega Whale Orders
2023-02-01,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-02,0.65148368,235348890.1,1,435.0,283.3954008,283.3954008,0.0001204150147806,Retail Orders
2023-02-03,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-04,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-05,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-06,0.65148368,235348890.1,1,10.0,6.5148368,6.5148368,2.768161259325183e-06,Retail Orders
2023-02-07,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-08,0.65148368,235348890.1,2,110.0,71.6632048,35.8316024,1.5224886926288504e-05,Retail Orders
2023-02-09,0.65148368,235348890.1,2,20.0,13.0296736,6.5148368,2.768161259325183e-06,Retail Orders
2023-02-10,0.65148368,235348890.1,1,10.0,6.5148368,6.5148368,2.768161259325183e-06,Retail Orders
2023-02-11,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-12,0.65148368,235348890.1,0,0.0,0.0,,,Normal
2023-02-13,0.65148368,235348890.1,4,1000.0,651.48368,162.87092,6.920403148312958e-05,Retail Orders
2023-02-14,0.65148368,235348890.1,19809,438203276.26378936,285482283.0083901,14411.746327850478,0.0061235667275621,Small Whale Orders
2023-02-15,0.65148368,235348890.1,29260,125637192.25932077,81850580.3579698,2797.354079219748,0.0011885987981635,Normal
2023-02-16,0.944914153,337434187.0,8393,49826432.80229266,47081701.54838979,5609.639169354199,0.0016624394876012,Normal
2023-02-17,0.909100811,327051251.1,4019,33583391.58551022,30530688.52651792,7596.588337028592,0.0023227516517604,Normal
2023-02-18,0.971480234,375185113.4,4173,37498993.594263256,36429531.07171937,8729.818133649502,0.0023268029092461,Normal
2023-02-19,1.183634903,457436618.0,3478,22094856.23182963,26152243.01276061,7519.333816204889,0.0016437979646406,Normal
2023-02-20,1.239436118,491562526.4,1926,19013339.026573136,23565819.11331371,12235.6277846904,0.0024891294855812,Normal
2023-02-21,1.233020735,475608854.4,2023,20603300.769392945,25404297.05810296,12557.734581365772,0.0026403491998078,Normal
2023-02-22,1.045903462,405737268.6,1970,25158314.545859385,26313168.28159929,13356.938214009791,0.0032920165949009,Normal
2023-02-23,1.064327651,413074061.2,989,9847693.034261389,10481171.994924486,10597.747214281582,0.0025655804151668,Normal
2023-02-24,0.975957849,380675209.0,1234,19297170.62187663,18833225.131912712,15261.932845958438,0.0040091743526063,Normal
2023-02-25,0.820435095,321260635.1,1269,14404771.710931066,11818180.24711104,9312.986798353855,0.0028988882486193,Normal
2023-02-26,0.838323384,331706749.9,934,7757626.863852258,6503400.004313932,6962.955036738685,0.0020991297400001,Normal
2023-02-27,0.856680859,337128463.1,695,7644429.419436059,6548836.361607355,9422.786131809144,0.0027950135224904,Normal
2023-02-28,0.849545544,334949993.3,692,10847351.592135135,9215319.20929971,13316.935273554494,0.0039757980414787,Normal
