day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2020-09-29,1.003136125,35439287.82,1432,667604.8858588996,669698.5782315637,467.66660491030984,0.001319627548063718,Normal
2020-09-30,0.442387741,15628892.34,1034,544401.4864503469,240836.5437878111,232.91735375997206,0.0014902998158343706,Normal
2020-10-01,0.416019296,14697334.88,1090,426951.6487040012,177620.1243198779,162.95424249530083,0.0011087332759699684,Normal
2020-10-02,0.507826646,17940750.25,1003,67874.84780612249,34468.65630914365,34.36555963025289,0.0001915502927769305,Retail Orders
2020-10-03,0.673454121,23792119.39,1249,150045.23793131858,101048.58382127201,80.90358992896078,0.0003400436447160951,Retail Orders
2020-10-04,0.557908573,19710069.26,1278,303084.1717446172,169093.2577569263,132.3108433152788,0.0006712855321304882,Normal
2020-10-05,0.465439314,16443269.67,1514,414824.81649522844,193075.778019715,127.52693396282365,0.0007755570304578217,Normal
2020-10-06,0.511831411,18082232.56,1455,424649.1647793508,217348.78118898664,149.38060562816952,0.0008261181529022958,Normal
2020-10-07,0.535954786,18934475.04,2503,127386.45699313343,68273.38129705303,27.276620574132252,0.00014405797106341247,Retail Orders
2020-10-08,0.585022162,20667951.52,3909,169820.33144830054,99348.65745544137,25.41536389241273,0.00012296992214162468,Retail Orders
2020-10-09,0.698905427,24691275.66,2490,189888.89312832587,132714.37793440997,53.29894696161043,0.00021586145525868887,Retail Orders
2020-10-10,0.78286625,27657485.02,2133,316031.1211080807,247410.098665179,115.99160743796483,0.0004193859541244898,Retail Orders
2020-10-11,0.944574926,33370408.92,2205,159567.14074641842,150723.12016257978,68.35515653631737,0.00020483763534389843,Retail Orders
2020-10-12,1.104540839,39021763.6,2464,407028.8256252623,449579.96055331186,182.45939957520773,0.0004675836834171373,Retail Orders
2020-10-13,0.850810005,30057835.54,2468,348740.0358540216,296711.5116486603,120.22346501161276,0.00039997379336121274,Retail Orders
2020-10-14,0.88722024,31344154.28,2438,181357.12889598412,160903.715424806,65.9982425860566,0.00021055997235238405,Retail Orders
2020-10-15,0.884559257,31250145.76,2309,90049.07275121899,79653.74088635722,34.49707270955272,0.00011039011777573455,Retail Orders
2020-10-16,0.817136976,28868218.15,2459,181572.57698656918,148369.66648333232,60.337399952554826,0.00020900978245016772,Retail Orders
