day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-03-25,0.7838,1116915485.0,1,1.0,0.7838,0.7838,7.017540812409812e-08,Retail Orders
2024-03-26,0.7838,1116915485.0,0,0.0,0.0,,,Normal
2024-03-27,0.7838,1116915485.0,0,0.0,0.0,,,Normal
2024-03-28,0.7838,1116915485.0,3,750000079.0,587850061.9202,195950020.64006665,17.543853878976947,Mega Whale Orders
2024-03-29,0.7838,1116915485.0,2,315600070.0,247367334.86600003,123683667.433,11.07368185812197,Mega Whale Orders
2024-03-30,0.7838,1116915485.0,1,10.0,7.838000000000001,7.838000000000001,7.017540812409814e-07,Retail Orders
2024-03-31,0.7838,1116915485.0,4,337500021.0,264532516.4598,66133129.11495,5.921050428891672,Mega Whale Orders
2024-04-01,0.7838,1116915485.0,15,158683563.0,124376176.6794,8291745.11196,0.7423789197407358,Mega Whale Orders
2024-04-02,0.7838,1116915485.0,18177,163635778.10380775,128257722.87776452,7056.044610098725,0.0006317438252813,Normal
2024-04-03,1.1266,1605472598.0,10705,92803258.99484996,104552151.58359796,9766.665257692475,0.0006083358426583,Normal
2024-04-04,0.9777,1392921318.0,5720,157003094.87610865,153501925.86037144,26836.001024540463,0.001926598486056,Normal
2024-04-05,1.0186,1451512750.0,2998,27977695.47197632,28498080.60775508,9505.69733414112,0.0006548821106904,Normal
2024-04-06,1.0888,1551483338.0,2888,14679016.488653306,15982513.152845718,5534.111202508905,0.0003566980751235,Retail Orders
2024-04-07,1.1894,1694862667.0,1984,11501485.694930607,13679867.085550468,6895.094297152453,0.0004068231858193,Retail Orders
2024-04-08,1.2964,1847363096.0,2800,24688293.176676985,32005903.274244044,11430.679740801444,0.0006187565273741,Normal
2024-04-09,1.2362,1761518466.0,9307,18359992.19290672,22696622.348871287,2438.66147511242,0.0001384408691808,Retail Orders
2024-04-10,1.4653,2088065084.0,5142,32908593.58236553,48220962.17624021,9377.861177798564,0.0004491172832521,Retail Orders
2024-04-11,1.3737,1958404243.0,2538,19204528.005297583,26381260.120877285,10394.507533836597,0.0005307641448893,Normal
2024-04-12,1.2863,1832907299.0,1980,15283990.11017165,19659796.47871379,9929.190140764542,0.0005417180752229,Normal
2024-04-13,1.0518,1498840746.0,1975,34876143.79945648,36682728.04826833,18573.533188996626,0.0012391932390792,Normal
2024-04-14,1.2168,1733910891.0,1732,10613683.567176474,12914730.164540336,7456.541665438993,0.000430041803425,Retail Orders
2024-04-15,1.0552,1503684197.0,1387,5553833.430867038,5860405.036250898,4225.237949712255,0.0002809923758021,Retail Orders
2024-04-16,0.9846,1403008772.0,1291,27517882.184630662,27094106.798987355,20986.91463902971,0.0014958505647197,Normal
2024-04-17,0.9267,1320582403.0,837,17499158.54072524,16216470.219690075,19374.51639150547,0.0014671190792404,Normal
2024-04-18,0.9116,1299032388.0,956,7303683.67920098,6658038.041959613,6964.474939288298,0.0005361278905455,Normal
2024-04-19,0.9717,1384700989.0,835,7951362.991897524,7726339.419226824,9253.101100870448,0.0006682382098645,Normal
2024-04-20,1.0766,1534174184.0,853,1303035.83990463,1402848.3852413243,1644.6053754294542,0.0001071980869304,Retail Orders
2024-04-21,1.0508,1497395593.0,805,2234698.727983655,2348221.4233652246,2917.045246416428,0.0001948079225057,Retail Orders
