day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-10-01,3.995984843,742784646.3,36660,29568001.34796742,118153285.2242814,3222.9483149012926,0.0004339007720414,Retail Orders
2024-10-02,3.995984843,742784646.3,20803,11141752.515289493,44522274.17555394,2140.185270179971,0.0002881299823361,Retail Orders
2024-10-03,3.259714313,607997456.8,10532,11866823.90513867,38682455.73343108,3672.8499556998745,0.00060408969061,Normal
2024-10-04,3.340960368,623363067.4,9469,9737680.908255186,32533205.990710825,3435.759424512707,0.0005511650600095,Normal
2024-10-05,3.602673986,672206092.4,9895,3306894.8196050627,11913663.941029323,1204.008483176283,0.000179112997753,Retail Orders
2024-10-06,3.191742442,595481073.5,8747,1911047.368940975,6099570.996121342,697.3329136985643,0.0001171041271891,Retail Orders
2024-10-07,3.298474637,613623351.6,3134,1888103.309804093,6227860.879424555,1987.192367397752,0.0003238456232501,Retail Orders
2024-10-08,3.373893323,629288987.1,3129,4532332.198885699,15291605.343438366,4887.058275307883,0.0007766000002366,Normal
2024-10-09,3.744846386,698720928.4,4064,5089933.945057833,19061020.739128545,4690.21179604541,0.0006712568073186,Normal
2024-10-10,3.67277138,685601353.4,5130,3359917.889865635,12340210.265048496,2405.499077007504,0.0003508597328576,Retail Orders
2024-10-11,3.716887771,693415845.7,3304,12076578.147725197,44887285.632805616,13585.74020363366,0.0019592485934495,Normal
2024-10-12,3.909757971,728799790.8,4647,3756526.1836048393,14687108.18961923,3160.5569592466604,0.0004336660080235,Retail Orders
2024-10-13,3.732635598,696442615.1,3483,1771915.3152167809,6613914.182219547,1898.9130583461235,0.0002726589409054,Retail Orders
2024-10-14,3.570187997,666132816.9,3028,2811224.186529437,10036598.847623486,3314.596713217796,0.0004975879628094,Retail Orders
2024-10-15,3.767413329,703308836.0,5802,4618906.547750618,17401330.093401052,2999.1951212342387,0.000426440699692,Retail Orders
2024-10-16,3.49867651,653123036.2,2817,19551673.60577655,68404981.17571741,24282.918415235148,0.0037179699795184,Normal
2024-10-17,3.32908752,619762296.4,2201,2898148.583519974,9648190.28050202,4383.548514539764,0.0007072951258897,Normal
2024-10-18,3.22689312,601641759.0,1416,10360091.61676704,33430908.360715248,23609.39855982716,0.0039241622122554,Normal
2024-10-19,3.610757508,673702357.3,6552,1456513.360854267,5259116.553206858,802.6734666066634,0.0001191436333729,Retail Orders
2024-10-20,3.664052823,683820968.1,6869,1390493.0064091375,5094839.825495158,741.7149258254707,0.0001084662448837,Retail Orders
2024-10-21,3.730752624,696091286.0,4445,923033.9292336408,3443611.2535294355,774.7156925825502,0.0001112951286941,Retail Orders
2024-10-22,3.469659211,647035575.0,3846,1352565.6763197118,4692941.957325133,1220.213717453233,0.000188585259389,Retail Orders
2024-10-23,3.422425809,638563052.3,2751,1387958.5580995737,4750185.191062407,1726.7121741411877,0.0002704059008616,Retail Orders
2024-10-24,3.221075078,600941436.8,1975,2000825.764603888,6444810.005785878,3263.19493963842,0.0005430138013139,Normal
2024-10-25,3.250300943,605451374.9,2997,712059.4801677346,2314407.5998612773,772.2414413951542,0.0001275480531401,Retail Orders
2024-10-26,2.74793358,511143324.1,4664,1231564.9412595686,3384258.658037896,725.6129198194459,0.0001419587981701,Retail Orders
2024-10-27,2.937304234,547781498.7,3691,503184.18893280544,1478005.0486341852,400.434854682792,7.310120105062102e-05,Retail Orders
2024-10-28,2.845565908,530962053.0,1279,1933092.1087268456,5500741.001616943,4300.813918386976,0.0008100040095307,Normal
2024-10-29,2.867118538,535010422.8,1100,1201508.6684851372,3444867.776981433,3131.6979790740297,0.0005853527044733,Normal
2024-10-30,2.847304536,531287604.0,734,1141431.5867355943,3250003.334445936,4427.797458373209,0.0008334087648642,Normal
2024-10-31,2.966769347,555737351.2,1409,20473601.06749842,60740452.06976079,43108.90849521702,0.0077570651679488,Small Whale Orders
2024-11-01,2.742876553,512298696.6,2136,659752.8107554701,1809620.515397025,847.2006158225772,0.0001653723933801,Retail Orders
2024-11-02,2.518457688,470011378.5,7934,1192157.4244787623,3002398.030984818,378.42173317176935,8.0513313183921e-05,Retail Orders
2024-11-03,2.349275549,438319475.0,3371,581323.87990417,1365689.9771086792,405.1290350366892,9.2427797107735e-05,Retail Orders
2024-11-04,2.454150002,458071438.9,2306,900473.5419671757,2209897.144819691,958.3248676581488,0.0002092086050943,Retail Orders
2024-11-05,2.356440891,439671693.6,2380,1785702.772559198,4207903.032430567,1768.026484214524,0.0004021242463298,Retail Orders
2024-11-06,2.404551896,448899844.8,584,75385552.05220383,181268472.11813343,310391.21938036545,0.0691448711724672,Big Whale Orders
2024-11-07,2.892374701,541178419.7,1045,2320464.763330992,6711653.576020514,6422.635000976568,0.0011867869758252,Normal
2024-11-08,3.178799889,593326474.1,1017,917045.6259025004,2915104.533826804,2866.376139456051,0.0004831026870668,Retail Orders
2024-11-09,3.029307097,565375504.8,1204,1376460.024366222,4169720.1205493887,3463.222691486203,0.0006125526596189,Normal
2024-11-10,3.284324602,616085802.1,961,1529714.094246728,5024077.633760676,5227.968401415896,0.0008485779713792,Normal
2024-11-11,3.190239569,594964687.3,614,1810770.862733824,5776792.856685711,9408.457421312232,0.0015813471996142,Normal
2024-11-12,3.237217007,605573794.3,494,1546779.3117432822,5007260.294051108,10136.154441399003,0.0016738099529415,Normal
2024-11-13,2.822709647,527730226.6,431,1871228.106555004,5281933.628110352,12255.06642252982,0.0023222218104665,Normal
2024-11-14,2.547191669,475673346.3,396,5964290.679472094,15192191.530245667,38364.1200258729,0.0080652238188845,Small Whale Orders
2024-11-15,2.395315749,445508497.9,509,1387212.108427334,3322811.0105194887,6528.115934222964,0.0014653179378159,Normal
2024-11-16,2.441889101,455333711.8,741,1747919.0738142263,4268224.535776974,5760.087092816429,0.0012650253964385,Normal
2024-11-17,2.491760927,464917737.3,1878,645186.77853759,1607651.2053769692,856.0443053125501,0.0001841281234577,Retail Orders
2024-11-18,2.392895521,446144959.4,1250,8242118.644623723,19722528.788270697,15778.023030616558,0.0035365238804526,Normal
2024-11-19,2.698525487,503484907.5,661,11150993.911943376,30091241.27676104,45523.8143370061,0.0090417435873201,Small Whale Orders
2024-11-20,2.424670141,452007678.8,660,1847312.578343449,4479123.649803084,6786.550984550127,0.001501423825933,Normal
2024-11-21,2.231345914,416460870.0,1102,2480146.7571852608,5534065.332765682,5021.837870023304,0.0012058366660049,Normal
2024-11-22,2.627183786,490143301.6,1146,1124820.8859680318,2955111.193769368,2578.631059135574,0.0005260973781989,Normal
2024-11-23,2.562329709,477789452.9,687,1451868.0176290472,3720164.555117843,5415.086688672261,0.0011333625419742,Normal
2024-11-24,2.767814165,515676018.4,1180,1045384.9254504192,2893431.20453914,2452.060342829779,0.0004755040481498,Retail Orders
2024-11-25,2.914577847,543858419.6,1156,2140669.987537042,6239149.323413228,5397.187996032204,0.0009923884234433,Normal
2024-11-26,3.153112221,588440767.1,1407,11980794.122923171,37776788.36627404,26849.174389675933,0.0045627658535618,Normal
2024-11-27,3.387674147,632077644.1,1085,3219267.215837724,10905828.319378125,10051.454672237904,0.0015902246766771,Normal
2024-11-28,3.878519895,725160873.7,1179,2017813.867095232,7826131.227935744,6637.939972803854,0.0009153748104106,Normal
2024-11-29,3.645374119,680103754.8,955,1481423.9557500065,5400344.547557674,5654.81104456301,0.0008314629943817,Normal
2024-11-30,3.575740181,666508914.9,1158,1561572.33393496,5583776.939989187,4821.914455949212,0.0007234583586436,Normal
2024-12-01,3.634561587,678217257.3,973,1001394.0655046962,3639628.40393313,3740.6252866733103,0.0005515379100739,Normal
2024-12-02,3.845410654,718362795.6,581,1314364.780795891,5054272.331314894,8699.263909319956,0.0012109847506863,Normal
2024-12-03,3.867462019,721408235.3,464,1862298.011754613,7202366.828520181,15522.342302845216,0.0021516724571892,Normal
2024-12-04,3.958025836,737309319.9,516,3155429.0290299924,12489269.620565103,24204.01089256803,0.0032827485343398,Normal
2024-12-05,3.848315812,813432440.6,540,2363830.424078425,9096765.99786767,16845.862959014205,0.0020709603057616,Normal
2024-12-06,3.841697975,810089398.1,915,2230334.0647181026,8568269.860001054,9364.229355192409,0.0011559501182407,Normal
2024-12-07,4.750867449,1001534896.0,1510,2709206.2428379767,12871079.751726534,8523.893875315585,0.0008510830635416,Normal
2024-12-08,4.475107666,945924230.0,1817,1878644.2557948225,8407135.310794275,4626.931926689199,0.0004891440328882,Retail Orders
2024-12-09,4.806411402,1011686794.0,846,3333720.727527112,16023233.315870048,18939.99209913717,0.0018721201276387,Normal
2024-12-10,4.557292729,960677407.0,556,2411086.5039395047,10988026.993393537,19762.6384773265,0.0020571565786106,Normal
2024-12-11,4.288087716,903945770.0,738,2101787.4264224805,9012648.844885493,12212.261307432917,0.0013509949061914,Normal
2024-12-12,5.085542169,1072288808.0,644,16659922.491118282,84724738.36085354,131560.15273424462,0.0122690968844136,Small Whale Orders
2024-12-13,4.917305528,1035742726.0,645,2498005.21961097,12283454.875365876,19044.116085838567,0.0018386917530559,Normal
2024-12-14,4.91208068,1035054034.0,1619,724371.220528088,3558169.8775040405,2197.75779957013,0.0002123326635496,Retail Orders
