day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-08-05,0.899008049,217751047.2,10,150000000.0,134851207.35,13485120.735,6.192907408897183,Mega Whale Orders
2024-08-06,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-07,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-08,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-09,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-10,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-11,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-12,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-13,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-14,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-15,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-16,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-17,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-18,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-19,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-20,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-21,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-22,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-23,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-24,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-25,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-26,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-27,0.899008049,217751047.2,3,750000.0,674256.03675,224752.01225,0.1032151234816197,Big Whale Orders
2024-08-28,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-29,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-08-30,0.899008049,217751047.2,1,10.0,8.99008049,8.99008049,4.128604939264788e-06,Retail Orders
2024-08-31,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-01,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-02,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-03,0.899008049,217751047.2,2,0.21,0.18879169029,0.094395845145,4.335035186228029e-08,Retail Orders
2024-09-04,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-05,0.899008049,217751047.2,1,0.01,0.00899008049,0.00899008049,4.128604939264789e-09,Retail Orders
2024-09-06,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-07,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-08,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-09,0.899008049,217751047.2,4,4.0,3.5960321959999995,0.8990080489999999,4.128604939264788e-07,Retail Orders
2024-09-10,0.899008049,217751047.2,2,1.00014,0.89913391012686,0.44956695506343,2.0645914719781426e-07,Retail Orders
2024-09-11,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-12,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-13,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-14,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-15,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-16,0.899008049,217751047.2,1,0.1,0.0899008049,0.0899008049,4.128604939264788e-08,Retail Orders
2024-09-17,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-18,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-19,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-20,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-21,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-22,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-23,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-24,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-25,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-26,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-27,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-28,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-29,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-09-30,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-01,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-02,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-03,0.899008049,217751047.2,1,0.1,0.0899008049,0.0899008049,4.128604939264788e-08,Retail Orders
2024-10-04,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-05,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-06,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-07,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-08,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-09,0.899008049,217751047.2,1,0.0001,8.990080490000001e-05,8.990080490000001e-05,4.128604939264789e-11,Retail Orders
2024-10-10,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-11,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-12,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-13,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-14,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-15,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-16,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-17,0.899008049,217751047.2,3,9.97,8.963110248529999,2.9877034161766662,1.3720730414823312e-06,Retail Orders
2024-10-18,0.899008049,217751047.2,1,0.1,0.0899008049,0.0899008049,4.128604939264788e-08,Retail Orders
2024-10-19,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-20,0.899008049,217751047.2,1,0.01,0.00899008049,0.00899008049,4.128604939264789e-09,Retail Orders
2024-10-21,0.899008049,217751047.2,20,0.02,0.01798016098,0.000899008049,4.1286049392647884e-10,Retail Orders
2024-10-22,0.899008049,217751047.2,0,0.0,0.0,,,Normal
2024-10-23,0.899008049,217751047.2,0,0.0,0.0,,,Normal
