day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-06-11,4.169179338,396289142.2,77391,15719785.753685812,65538605.96205364,846.8504860003571,0.0002136951018387,Retail Orders
2024-06-12,4.169179338,396289142.2,42939,8857186.70703264,36927199.81176874,859.9920774067571,0.0002170112642078,Retail Orders
2024-06-13,5.533724644,523975660.0,11502,3361702.49186128,18602735.92500897,1617.3479329689596,0.0003086685234518,Retail Orders
2024-06-14,4.994807349,474500804.6,5284,3005911.95121599,15013951.104380555,2841.398770700332,0.0005988185358496,Normal
2024-06-15,5.147944065,487882860.2,3476,514817.3324564501,2650250.831178314,762.4427017198832,0.0001562757710749,Retail Orders
2024-06-16,5.270507641,500164315.1,2886,363255.93549214007,1914543.1836499271,663.3898765245763,0.0001326343876395,Retail Orders
2024-06-17,5.337646864,506943776.0,2671,1880804.46301487,10039070.043808524,3758.543633024532,0.0007414123243964,Normal
2024-06-18,4.28097168,405490468.4,1957,836833.3752643102,3582459.9803853245,1830.5876241110493,0.0004514502230679,Retail Orders
2024-06-19,3.80839045,362035912.1,1203,1165647.58941442,4439241.147591399,3690.142267324521,0.0010192752000539,Normal
2024-06-20,3.827891839,363848159.9,1134,455367.39260882,1743097.125914011,1537.1226859911912,0.0004224626796006,Retail Orders
2024-06-21,3.995429834,379937049.1,1086,1178539.86952742,4708773.355268321,4335.887067466226,0.0011412119659657,Normal
2024-06-22,3.701276987,351493974.2,1008,309215.36292201,1144491.7068100888,1135.4084392957232,0.0003230235857897,Retail Orders
2024-06-23,3.720885603,353386612.7,735,407582.9286897,1516569.4513900804,2063.359797809633,0.0005838817101884,Normal
2024-06-24,3.385505219,321789077.5,849,2690184.47584535,9107633.583047211,10727.48360782946,0.0033337003515383,Normal
2024-06-25,3.332072411,316546879.0,902,249036.47307656,829807.5612711499,919.9640368859756,0.0002906248956844,Retail Orders
2024-06-26,3.577768678,340149253.2,853,640691.63354269,2292246.45874569,2687.2760360441853,0.0007900284980088,Normal
2024-06-27,3.480334384,330668193.4,678,473872.84839263005,1649235.9679048893,2432.5014275883323,0.0007356321158611,Normal
2024-06-28,3.629645831,344833563.6,647,173333.11365068005,629137.81333644,972.3922926374652,0.0002819888767456,Retail Orders
2024-06-29,3.22460266,306347890.6,571,484148.48213626,1561186.4833315464,2734.1269410359832,0.0008924908657543,Normal
2024-06-30,3.140186428,298298516.2,573,5992637.61730714,18817999.31379014,32841.18553890077,0.0110095034857235,Small Whale Orders
2024-07-01,3.344780526,317722810.8,16444,10542826.08709975,35263439.38513602,2144.45629926636,0.0006749456527426,Normal
2024-07-02,3.045232736,289076656.8,7558,2304816.08639254,7018701.396741967,928.6453290211653,0.0003212453538452,Retail Orders
2024-07-03,2.945921133,279824224.0,7064,1396478.92506264,4113916.777131154,582.3777997071284,0.0002081227248242,Retail Orders
2024-07-04,2.693754775,255807539.7,2392,848201.53489813,2284846.9347941666,955.203568057762,0.0003734071205164,Retail Orders
2024-07-05,2.28648381,216355914.5,1592,850131.70051083,1943812.3695857816,1220.9876693378026,0.0005643421730159,Normal
2024-07-06,2.066102698,196194678.2,1011,466565.2330923701,963971.6868851446,953.483369817156,0.0004859883960997,Retail Orders
2024-07-07,2.51601073,237604406.9,674,228239.58314089003,574253.2401932064,852.0077747673685,0.0003585824799646,Retail Orders
2024-07-08,2.112462483,200538621.4,699,805782.41782549,1702185.127117378,2435.171855675791,0.0012143156458717,Normal
2024-07-09,2.123702714,201562274.5,543,4433864.740412329,9416210.58272257,17341.087629323334,0.0086033399217884,Small Whale Orders
2024-07-10,2.305543526,219303666.5,401,482596.86815062,1112648.0850325376,2774.6835038217896,0.001265224402357,Normal
2024-07-11,2.398109954,228100138.7,808,836267.3824651701,2005461.1340952488,2482.006354078279,0.0010881213699491,Normal
2024-07-12,2.454142429,233107979.1,581,286076.84342738,702073.3194095229,1208.3878130972855,0.0005183811458375,Normal
2024-07-13,2.533197366,240041913.6,434,247747.78480457,627594.0358992715,1446.0692071411786,0.0006024236290462,Normal
2024-07-14,2.367132241,225357143.6,402,276713.4188946,655017.2553827462,1629.3961576685228,0.0007230284035551,Normal
2024-07-15,2.511447941,240472667.2,485,312653.47245804995,785212.9196512699,1618.995710621175,0.0006732556050849,Normal
2024-07-16,2.679302678,254497096.4,591,670593.02482634,1796721.6872653333,3040.138218723068,0.0011945669564515,Normal
2024-07-17,2.753109616,261483868.0,597,826085.4598128801,2274303.8230486223,3809.554142460004,0.0014568983439008,Normal
2024-07-18,2.692436885,256096027.7,574,9410639.30082927,25337552.36498333,44142.07729091174,0.0172365333766993,Small Whale Orders
2024-07-19,2.95931538,280991657.3,511,543117.7929670999,1607256.8378791946,3145.316708178463,0.0011193630225186,Normal
2024-07-20,2.877825476,273602401.3,598,771472.0562786199,2220161.937580718,3712.645380569763,0.0013569491214,Normal
2024-07-21,3.155108004,299318312.3,547,508699.49637901,1605001.8526561835,2934.1898586036264,0.0009802907934556,Normal
2024-07-22,3.082670744,292853720.7,746,61890789.28091033,190788925.43933108,255749.22981143577,0.0873300257890272,Big Whale Orders
2024-07-23,2.741097027,260032317.5,403,400715.90240321,1098401.168749061,2725.5612127768263,0.0010481624895631,Normal
