day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-01-31,0.662748724,2697284505.0,245104,604402902.002012,400567252.0837305,1634.274642942304,6.0589627824310815e-05,Retail Orders
2024-02-01,0.601863643,899991947.1,74216,199994623.573349,120369492.7242695,1621.8806284934446,0.0001802105711856,Retail Orders
2024-02-02,0.617974242,806677133.6,37960,77535591.39553499,47914998.32067746,1262.249692325539,0.0001564752042359,Retail Orders
2024-02-03,0.567151534,834364156.1,25233,54470253.72140911,30892887.955466382,1224.3049956591124,0.0001467350900333,Retail Orders
2024-02-04,0.531024799,767675776.7,22740,59883503.1615643,31799625.229785543,1398.4004058832693,0.0001821602880182,Retail Orders
2024-02-05,0.540347034,715930705.0,18868,37976083.500284,20520264.0823148,1087.5696460840998,0.0001519099039178,Retail Orders
2024-02-06,0.532656088,728308207.3,14588,34723042.69538734,18495440.085582,1267.8530357541813,0.0001740819371587,Retail Orders
2024-02-07,0.55524199,720979982.7,23317,55275609.69655372,30691339.52637778,1316.2645077144475,0.0001825660266995,Retail Orders
2024-02-08,0.511913919,752029783.5,19336,36951919.58602376,18916201.969854284,978.2893033644128,0.0001300865105117,Retail Orders
2024-02-09,0.511079991,693792982.7,17129,49735130.670301,25418630.13536125,1483.95295319991,0.0002138898764044,Retail Orders
2024-02-10,0.504878305,689133350.7,13567,21893331.78659,11053468.24321618,814.7319409756159,0.0001182255858242,Retail Orders
2024-02-11,0.506061552,682141624.6,11213,17237778.503081635,8723376.94230173,777.9699404531998,0.0001140481554558,Retail Orders
2024-02-12,0.505796277,680776654.2,13150,43281648.889551,21891696.87075608,1664.7678228711848,0.0002445394994967,Retail Orders
2024-02-13,0.480177935,682153916.0,12307,33694041.898527734,16179135.460638529,1314.6287040414827,0.0001927173139678,Retail Orders
2024-02-14,0.529397884,647432185.1,12748,53637085.896397,28395359.77747881,2227.4364431658937,0.0003440416609535,Retail Orders
2024-02-15,0.517223296,714862587.8,13171,28873430.740140066,14934011.014242966,1133.8555169875458,0.0001586116739549,Retail Orders
2024-02-16,0.514739028,698102316.4,9392,17169216.40597,8837665.764330652,940.9780413469604,0.0001347908493126,Retail Orders
2024-02-17,0.503372907,697831855.0,10548,13883548.379642,6988602.107335534,662.5523423715903,9.4944410694979e-05,Retail Orders
2024-02-18,0.534587673,682322940.8,9791,26808074.72613501,14331266.28545463,1463.718341890985,0.0002145198782521,Retail Orders
2024-02-19,0.52918751,721656230.5,19036,13080364.089585,6921965.302460903,363.62498962286736,5.038756325445005e-05,Retail Orders
2024-02-20,0.50640075,711229345.3,9320,18995781.667405862,9619478.083210578,1032.1328415461994,0.0001451195522747,Retail Orders
2024-02-21,0.475263782,683859228.6,9492,16640209.648257,7908488.970703511,833.1741435633703,0.0001218341595344,Retail Orders
2024-02-22,0.469163056,642975165.8,7985,15754662.61672659,7391505.659512404,925.6738459001132,0.0001439672782304,Retail Orders
2024-02-23,0.480664505,633481013.2,8215,13430160.538531,6455401.467323536,785.8066302280628,0.0001240458062442,Retail Orders
2024-02-24,0.491869256,650013164.7,8655,14757869.492509,7258942.287425499,838.6992821982091,0.000129028045545,Retail Orders
2024-02-25,0.497067243,663826320.4,7258,9639560.923232002,4791509.971841466,660.1694642933957,9.944912456854666e-05,Retail Orders
2024-02-26,0.503017384,671576245.1,8190,14186753.911759,7136183.840144779,871.3289182105957,0.0001297438562736,Retail Orders
2024-02-27,0.504586875,678054944.3,9871,17041822.524533,8599079.971958717,871.1457777285702,0.0001284771662019,Retail Orders
2024-02-28,0.510205052,680840321.6,11733,22028106.35826,11238851.149977572,957.883844709586,0.0001406914094715,Retail Orders
2024-02-29,0.547110647,689047276.1,13607,27728848.93635,15170748.48213171,1114.922354827053,0.000161806365615,Retail Orders
2024-03-01,0.615405621,740451359.0,16423,32388253.925957,19931913.520409256,1213.6584984722192,0.0001639079304427,Retail Orders
2024-03-02,0.603032686,830941020.6,13681,17980074.206782,10842572.443395069,792.527771609902,9.53771389258938e-05,Retail Orders
2024-03-03,0.633269056,813923209.0,15290,18231556.183542,11545480.373762604,755.1000898471291,9.277289079578624e-05,Retail Orders
2024-03-04,0.592528014,851906421.7,18720,25769585.111278,15269201.087589525,815.662451260124,9.574554557676063e-05,Retail Orders
2024-03-05,0.577520166,800213549.4,45775,78608433.013778,45397955.28311695,991.7630864689668,0.0001239373023879,Retail Orders
2024-03-06,0.588616217,784021335.1,58732,67391773.71282904,39667890.89976548,675.4050755936368,8.614626227071876e-05,Retail Orders
2024-03-07,0.746800942,791447730.6,62563,69631321.351133,52000736.37773084,831.1739586933305,0.0001050194379941,Retail Orders
2024-03-08,0.723002366,1013378168.0,39554,31041449.31284105,22443041.29725316,567.4025710990837,5.5991197463717584e-05,Retail Orders
2024-03-09,0.743354607,977180220.4,46161,24202930.250536893,17991359.70463626,389.7523819812452,3.988541456781673e-05,Retail Orders
