day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2026-08-21,0.000459943,440803.8336,1176,405391087.435666,186456.7929284225,158.55169466702594,0.0359687649202481,Small Whale Orders
2026-08-22,0.000475938,450803.8336,626,223247283.420004,106251.86557634988,169.73141465870586,0.0376508365741426,Small Whale Orders
2026-08-23,0.000523376,420575.5561,725,226712225.871522,118655.7379277337,163.66308679687407,0.0389140748726633,Small Whale Orders
2026-08-24,0.000761844,462493.6889,1102,240530506.256726,183246.7230086492,166.28559256683226,0.0359541322525562,Small Whale Orders
2026-08-25,0.001099249,673222.1592,712,154604885.841311,169949.2661561753,238.69278954519,0.0354552782143761,Small Whale Orders
2026-08-26,0.001192627,971378.0241,716,194359835.616846,231798.78767221217,323.74132356454214,0.0333280469119624,Small Whale Orders
2026-08-27,0.000566558,1053890.423,449,129071993.94038,73126.7707428738,162.86585911553186,0.0154537754173644,Small Whale Orders
2026-08-28,0.000783792,500650.6849,435,139787505.545569,109564.3285465726,251.8720196472933,0.0503089334028579,Big Whale Orders
2026-08-29,0.000716458,692614.5924,350,92069543.344914,65963.9608858104,188.468459673744,0.0272111592423538,Small Whale Orders
2026-08-30,0.000808627,633112.8114,319,91916678.824883,74326.30824812867,232.99783149883595,0.03680194545165,Small Whale Orders
2026-08-31,0.000958051,714560.1715,664,109851607.871352,105243.44277275664,158.49916080234436,0.0221813595445186,Small Whale Orders
2026-09-01,0.001370178,846601.8647,1153,189898302.55811,260194.47640246607,225.6673689527026,0.026655666419146,Small Whale Orders
2026-09-02,0.001491469,1210786.148,728,110978143.844813,165520.4612220794,227.3632709094497,0.0187781526312481,Small Whale Orders
2026-09-03,0.000999957,1317961.058,759,154881120.793668,154874.46090547388,204.05067312974165,0.0154822991082443,Small Whale Orders
2026-09-04,0.000691785,883627.9991,594,179831781.026727,124404.92863757434,209.4359067972632,0.0237018187529797,Small Whale Orders
2026-09-05,0.000818132,611305.9255,373,84284143.972008,68955.55527610684,184.867440418517,0.0302413951357186,Small Whale Orders
2026-09-06,0.000995025,722953.8973,447,121439563.332493,120835.40150491384,270.32528300875583,0.0373917733922361,Small Whale Orders
2026-09-07,0.000881557,879268.3952,305,60644869.632181,53461.90933833659,175.2849486502839,0.0199353177718179,Small Whale Orders
2026-09-08,0.000772945,778999.4544,381,165029967.932332,127559.08856345636,334.8007573843999,0.0429783044767688,Small Whale Orders
2026-09-09,0.000917505,683023.0806,546,181468553.613438,166498.30528309743,304.94195106794405,0.0446459218918442,Small Whale Orders
2026-09-10,0.001296339,810765.3405,325,86392558.171734,111994.04246778748,344.5970537470384,0.0425026868482716,Small Whale Orders
2026-09-11,0.001317435,1145526.942,342,71729067.512721,94498.3840586216,276.3110644988936,0.0241208700003577,Small Whale Orders
2026-09-12,0.001079207,1164168.95,413,98555382.477289,106361.65865716765,257.53428246287564,0.0221217274745968,Small Whale Orders
2026-09-13,0.001140872,953655.164,246,54734388.46961,62444.9312421009,253.84118391097928,0.0266177118830113,Small Whale Orders
2026-09-14,0.001215853,1008146.342,304,76789250.007316,93364.43998914518,307.119868385346,0.0304638181572002,Small Whale Orders
2026-09-15,0.001095084,1074402.507,244,63500619.005848,69538.51186340005,284.9939010795084,0.0265258038046916,Small Whale Orders
2026-09-16,0.000969743,967683.5285,284,65805778.647928,63814.69320337765,224.6996239555551,0.0232203625811282,Small Whale Orders
2026-09-17,0.000858762,856924.8831,261,62258029.66169,53464.83006833223,204.8460922158323,0.0239047898194744,Small Whale Orders
2026-09-18,0.001182947,758854.5931,244,51769438.691236,61240.50219148155,250.98566471918667,0.033074276284457,Small Whale Orders
2026-09-19,0.000979905,1045323.838,161,28237819.480658,27670.38049819418,171.86571738008806,0.0164413850648346,Small Whale Orders
2026-09-20,0.00088321,865903.613,157,29513660.149156,26066.759780336073,166.0303170722043,0.01917422615861106,Small Whale Orders
2026-09-21,0.000964999,780458.1027,147,37437589.393493,36127.23632713135,245.76351242946498,0.03148964839742767,Small Whale Orders
2026-09-22,0.001139794,852731.726,208,88712335.67895299,101113.78793285655,486.1239804464257,0.05700784497918701,Big Whale Orders
2026-09-23,0.001139794,1007190.482,154,55310789.029426,63042.90547100558,409.3695160454908,0.040644696644928265,Small Whale Orders
