day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2023-06-20,0.508627224,1643905366.0,1,10000000000.0,5086272240.0,5086272240.0,309.40176637880745,Mega Whale Orders
2023-06-21,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-06-22,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-06-23,0.508627224,1643905366.0,2,9999999999.99,5086272239.994914,2543136119.997457,154.70088318924903,Mega Whale Orders
2023-06-24,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-06-25,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-06-26,0.508627224,1643905366.0,1,1.0,0.508627224,0.508627224,3.0940176637880754e-08,Retail Orders
2023-06-27,0.508627224,1643905366.0,1,10.0,5.08627224,5.08627224,3.094017663788076e-07,Retail Orders
2023-06-28,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-06-29,0.508627224,1643905366.0,10,2200000.0,1118979.8928,111897.98928,0.0068068388603337,Small Whale Orders
2023-06-30,0.508627224,1643905366.0,2,1200000.0,610352.6688000001,305176.33440000005,0.0185641059827284,Small Whale Orders
2023-07-01,0.508627224,1643905366.0,1,500.0,254.31361200000003,254.31361200000003,1.5470088318940376e-05,Retail Orders
2023-07-02,0.508627224,1643905366.0,2,99.99999998765432,50.86272239372066,25.43136119686033,1.547008831703049e-06,Retail Orders
2023-07-03,0.508627224,1643905366.0,1,109.0,55.44036741600001,55.44036741600001,3.372479253529002e-06,Retail Orders
2023-07-04,0.508627224,1643905366.0,4,1000000700.0,508627580.0390568,127156895.0097642,7.735049574001099,Mega Whale Orders
2023-07-05,0.508627224,1643905366.0,11,50068.49999998765,25466.202164837723,2315.10928771252,0.0001408298394539,Retail Orders
2023-07-06,0.508627224,1643905366.0,1,50152.001,25508.673046675223,25508.673046675223,0.0015517117696831,Normal
2023-07-07,0.508627224,1643905366.0,3,20.0,10.17254448,3.39084816,2.0626784425253842e-07,Retail Orders
2023-07-08,0.508627224,1643905366.0,0,0.0,0.0,,,Normal
2023-07-09,0.508627224,1643905366.0,2,4500.0,2288.822508,1144.411254,6.961539743523169e-05,Retail Orders
2023-07-10,0.508627224,1643905366.0,3,1000.0,508.627224,169.542408,1.0313392212626917e-05,Retail Orders
2023-07-11,0.508627224,1643905366.0,2,1304.19,663.34653926856,331.67326963428,2.0175934484678846e-05,Retail Orders
2023-07-12,0.508627224,1643905366.0,1,9.98,5.076099695520001,5.076099695520001,3.0878296284605e-07,Retail Orders
2023-07-13,0.508627224,1643905366.0,4,633.0,321.961032792,80.490258198,4.896282952944629e-06,Retail Orders
2023-07-14,0.508627224,1643905366.0,3,210.0,106.81171704,35.603905680000004,2.165812364651653e-06,Retail Orders
2023-07-15,0.508627224,1643905366.0,3,5595452.8653215,2845999.6579113207,948666.5526371069,0.0577081000073277,Big Whale Orders
2023-07-16,0.508627224,1643905366.0,4,3060025.326,1556412.1869330753,389103.0467332688,0.0236694310257071,Small Whale Orders
2023-07-17,0.508627224,1643905366.0,952,33765362.80105039,17173982.748851124,18039.897845431853,0.0010973805559943,Normal
2023-07-18,0.508627224,1643905366.0,643,55781242.01960846,28371858.279705606,44124.196391455065,0.0026841080578025,Normal
2023-07-19,0.539303245,1743051602.0,487,33188371.504738227,17898596.44877086,36752.76478187035,0.0021085299333479,Normal
2023-07-20,0.577786246,1867430339.0,347,9664038.860732213,5583748.734540582,16091.494912220696,0.0008616918433936,Normal
2023-07-21,0.596875773,1929128522.0,213,582117.249013504,347451.68298156874,1631.2285585989143,8.455779591645653e-05,Retail Orders
2023-07-22,0.589300744,1904645700.0,251,2037603.530859025,1200761.2767122504,4783.909468973109,0.0002511705704096,Retail Orders
2023-07-23,0.573917047,1854924920.0,195,557980.3636660766,320234.4425992208,1642.2279107652348,8.853338984551649e-05,Retail Orders
2023-07-24,0.580185346,1875184336.0,130,4112917.826687335,2386254.65234616,18355.805018047384,0.0009788800314534,Normal
2023-07-25,0.556984845,1800199304.0,97,2956732.512146566,1646855.1999844157,16977.88865963315,0.000943111611137,Normal
2023-07-26,0.539626187,1744222033.0,111,13082850.097151862,7059848.513018639,63602.238856023774,0.003646453126534,Normal
2023-07-27,0.536519374,1735243443.0,99,5139740.431325623,2757570.318737313,27854.24564381124,0.0016052067942498,Normal
2023-07-28,0.521009096,1683932435.0,198,1609496.3112847612,838562.2181578081,4235.162717968728,0.0002515043139464,Retail Orders
2023-07-29,0.520648601,1682434638.0,207,408724.3044219093,212801.7372919652,1028.0277163863052,6.110357532869014e-05,Retail Orders
2023-07-30,0.521750343,1685382620.0,211,1790970.135782048,934439.28264704,4428.62219264,0.0002627665753809,Retail Orders
2023-07-31,0.519219571,1679637082.0,191,22132671.461476386,11491716.181311712,60166.05330529692,0.003582086508453,Normal
2023-08-01,0.518187686,1676438289.0,112,1086513.4099360304,563017.869702721,5026.945265202866,0.0002998586526081,Retail Orders
2023-08-02,0.521237232,1681966537.0,139,5743627.784874229,2993792.648226135,21538.076605943417,0.0012805294357615,Normal
2023-08-03,0.519331808,1680236215.0,153,22405029.336877488,11635644.393813623,76049.96335825899,0.0045261471380831,Normal
2023-08-04,0.51603826,1670022191.0,111,7609372.524568665,3926727.3572702208,35375.92213756956,0.0021182905429769,Normal
2023-08-05,0.51317979,1658166237.0,115,121491.22470130515,62346.8411790586,542.1464450352922,3.269554239725436e-05,Retail Orders
2023-08-06,0.511737943,1654948854.0,129,5991907.101335503,3066286.214684523,23769.66057894979,0.0014362776542307,Normal
2023-08-07,0.50813378,1642567629.0,168,699210.2326509288,355292.33853159583,2114.835348402356,0.0001287517975555,Retail Orders
2023-08-08,0.508672199,1644370304.0,416,9160729.999423718,4659808.673252132,11201.463156856084,0.0006812007690486,Normal
2023-08-09,0.461141303,1491287388.0,219,8057262.528215572,3715536.540874403,16965.920277965313,0.0011376693999081,Normal
2023-08-10,0.465365721,1505116576.0,87,160987.8997154525,74918.25002335725,861.1293106133018,5.721346268751091e-05,Retail Orders
2023-08-11,0.462584662,1496224825.0,85,4170439.614965812,1929181.3996803705,22696.25176094553,0.0015169011622932,Normal
2023-08-12,0.463017508,1497447564.0,126,734902.1193966168,340272.54794694006,2700.575777356667,0.0001803452649883,Retail Orders
2023-08-13,0.463080273,1497655403.0,134,1658965.7285269918,768234.3024639231,5733.091809432262,0.0003828044687681,Retail Orders
2023-08-14,0.461102084,1490666782.0,86,566834.8442274139,261368.727957076,3039.1712553148363,0.0002038799879364,Retail Orders
2023-08-15,0.459392421,1485466381.0,92,1101333.120801099,505944.08869230247,5499.392268394592,0.0003702131760593,Retail Orders
2023-08-16,0.455497014,1473267777.0,98,158087592.77670762,72008426.4602383,734779.8618391663,0.0498741554868858,Small Whale Orders
2023-08-17,0.450246698,1456101059.0,58,759610.8566750458,342012.27998289064,5896.763447980873,0.0004049693811795,Retail Orders
2023-08-18,0.428812503,1383319967.0,54,566614.946995598,242971.5736583948,4499.47358626657,0.0003252662936706,Retail Orders
2023-08-19,0.42676566,1381070548.0,51,52916.42487065672,22582.91298476623,442.80221538757314,3.206224446888814e-05,Retail Orders
2023-08-20,0.427009075,1380669702.0,46,16730.619788744927,7144.126480168667,155.307097394971,1.1248678606476076e-05,Retail Orders
2023-08-21,0.426122387,1378109413.0,32,86636.63721190793,36917.81065039123,1153.681582824726,8.371480318919539e-05,Retail Orders
2023-08-22,0.424218301,1371665057.0,29,247986.73240159667,105200.510289947,3627.603803101621,0.0002644671732788,Retail Orders
2023-08-23,0.421757482,1366566297.0,23,128996.48705271096,54405.23356619698,2365.444937660738,0.00017309404914,Retail Orders
2023-08-24,0.423770341,1369611069.0,36,53208.501186189336,22548.18469177036,626.3384636602877,4.573111869763136e-05,Retail Orders
2023-08-25,0.42392609,1370724388.0,43,241153.95974698247,102231.45524355568,2377.4757033385044,0.0001734466625203,Retail Orders
2023-08-26,0.428459071,1385867786.0,61,110555.6648629125,47368.57746095083,776.5340567368988,5.60323332847062e-05,Retail Orders
2023-08-27,0.434330065,1404613919.0,76,63943.33437618018,27772.51257592307,365.42779705161934,2.6016244898938625e-05,Retail Orders
2023-08-28,0.437819151,1416202000.0,63,365021.68991877424,159813.486376823,2536.7220059813176,0.0001791214816799,Retail Orders
2023-08-29,0.433545362,1402382436.0,53,9378665.35620468,4066076.866932618,76718.43145155883,0.0054705784586394,Small Whale Orders
2023-08-30,0.442502892,1430985587.0,89,454551.86912631785,201140.5166524012,2260.005805083159,0.000157933512791,Retail Orders
2023-08-31,0.45126546,1459458031.0,85,1599526.8584300014,721811.2235517694,8491.896747667875,0.0005818527540561,Normal
2023-09-01,0.44848694,1450555450.0,65,524167.989488393,235082.4976516016,3616.65381002464,0.0002493288905311,Retail Orders
2023-09-02,0.449816829,1454371329.0,63,109651.44492233824,49323.06525023433,782.9057976227672,5.383121779230063e-05,Retail Orders
2023-09-03,0.451091503,1459499212.0,47,115663.6694326693,52174.89848687795,1110.1042231250628,7.606062504164359e-05,Retail Orders
2023-09-04,0.452504242,1462908280.0,49,156188343.94044438,70675888.18400608,1442365.064979716,0.0985957277499117,Big Whale Orders
2023-09-05,0.442837581,1430708063.0,95,752343.1307416577,333165.8120996024,3507.008548416868,0.0002451239801544,Retail Orders
2023-09-06,0.42398874,1370586316.0,68,445159.9585299369,188742.8099155601,2775.629557581768,0.0002025140281337,Retail Orders
2023-09-07,0.416249148,1345414481.0,53,128221.7790957506,53372.2063036504,1007.022760446234,7.484851506115414e-05,Retail Orders
2023-09-08,0.418457004,1355160495.0,73,494521.1278702567,206935.8295832885,2834.7373915518974,0.0002091809348052,Retail Orders
2023-09-09,0.414627138,1340387578.0,90,42055.28144136982,17437.260981819687,193.74734424244096,1.4454576230222344e-05,Retail Orders
2023-09-10,0.413069776,1335891070.0,78,55712.61820059739,23013.198720494285,295.0410092371062,2.208570862271773e-05,Retail Orders
2023-09-11,0.410816218,1327936059.0,69,257253.4190942685,105683.8766998764,1531.6503869547305,0.0001153406729619,Retail Orders
2023-09-12,0.402473246,1300690399.0,51,157823.00616696727,63519.53758549735,1245.4811291273988,9.575538729931064e-05,Retail Orders
