day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-01-10,0.219553283,313450259.4,7,50848.48484848485,11163.951784060604,1594.8502548658005,0.0005088048923355,Normal
2024-01-11,0.219553283,313450259.4,7,33090.90909090909,7265.217728363636,1037.8882469090909,0.0003311173673602,Retail Orders
2024-01-12,0.219553283,313450259.4,19,145757.57575757577,32001.554279696968,1684.2923305103668,0.0005373395873828,Normal
2024-01-13,0.219553283,313450259.4,18,112007.0,24591.504568981,1366.1946982767222,0.0004358569365652,Retail Orders
2024-01-14,0.219553283,313450259.4,14,94343.21212121211,20713.361949977512,1479.5258535698224,0.0004720129619295,Retail Orders
2024-01-15,0.219553283,313450259.4,6,10576011.727272728,2321998.095769228,386999.68262820464,0.1234644639851284,Big Whale Orders
2024-01-16,0.219553283,313450259.4,123,1547866.3333333333,339839.13512850564,2762.919797792729,0.0008814539835064,Normal
2024-01-17,0.219553283,313450259.4,270,5489935.787878788,1205333.4256879794,4464.197872918442,0.0014242125310292,Normal
2024-01-18,0.219553283,313450259.4,5156,866724831.291491,190292282.167668,36906.95930327153,0.0117744229575429,Small Whale Orders
2024-01-19,0.219553283,313450259.4,1400,805262084.0947908,176797934.2384334,126284.23874173814,0.0402884460786438,Small Whale Orders
2024-01-20,0.198706176,283687410.9,728,40729488.52013014,8093200.91427096,11117.03422289967,0.0039187619174325,Normal
2024-01-21,0.20392574,294593566.5,1315,44616045.352317885,9098360.064344984,6918.904991897327,0.002348627322076,Normal
2024-01-22,0.282148965,407463641.3,1208,135244988.72180033,38159233.58929262,31588.76952756012,0.0077525369936755,Small Whale Orders
2024-01-23,0.244220181,357133380.0,868,35317828.12642537,8625326.377562495,9937.01195571716,0.0027824371823538,Normal
2024-01-24,0.250577157,361380322.8,575,36034539.96672256,9029432.578664212,15703.361006372545,0.0043453835241226,Normal
2024-01-25,0.255335234,367469681.2,421,11395890.33825737,2909772.326157285,6911.573221276211,0.0018808553670893,Normal
2024-01-26,0.223746301,322727014.9,434,21478361.694254167,4805703.980629463,11073.050646611666,0.0034310888569532,Normal
2024-01-27,0.227666737,328656319.6,600,18811359.37259729,4282720.806893593,7137.868011489321,0.0021718334886049,Normal
2024-01-28,0.26391244,383831761.6,574,18126118.030891296,4783708.037260518,8333.986127631566,0.0021712601617154,Normal
2024-01-29,0.257031551,370508533.8,400,9860799.408923084,2534536.566175384,6336.34141543846,0.0017101742166237,Normal
2024-01-30,0.267687695,386952113.9,429,67951135.56190191,18189682.85119805,42400.19312633578,0.010957478096965,Small Whale Orders
2024-01-31,0.239605531,345716246.1,409,16871888.018315714,4042597.6876010746,9884.101925675,0.0028590215349081,Normal
2024-02-01,0.215622562,312184868.1,362,24017593.364032462,5178735.014226878,14305.897829356018,0.0045825084080543,Normal
2024-02-02,0.208403258,301173875.1,280,8248116.4993529,1718934.3508286993,6139.051252959641,0.0020383744277026,Normal
2024-02-03,0.221749938,320289431.1,289,9138779.76789249,2026523.846925814,7012.193241957833,0.0021893301998368,Normal
2024-02-04,0.207135454,299636769.9,259,4046159.008988714,838102.9832830674,3235.9188543747773,0.0010799471825352,Normal
2024-02-05,0.207006413,298653018.2,268,2917970.610846956,604038.629390847,2253.875482801668,0.0007546802963472,Normal
2024-02-06,0.213204445,307278417.3,242,11284914.941559937,2405994.026987493,9942.124078460716,0.0032355425954807,Normal
2024-02-07,0.223237307,322404175.6,232,48109488.14322229,10739832.574241374,46292.38178552316,0.0143584932482255,Small Whale Orders
