day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2025-09-19,1.260122622,2306436984.0,1,1.0,1.260122622,1.260122622,5.463503363593305e-08,Retail Orders
2025-09-20,1.260122622,2306436984.0,0,0.0,0.0,,,Normal
2025-09-21,1.260122622,2306436984.0,0,0.0,0.0,,,Normal
2025-09-22,1.260122622,2306436984.0,1,99.0,124.752139578,124.752139578,5.408868329957372e-06,Retail Orders
2025-09-23,1.260122622,2306436984.0,1,49999901.0,63006006.34786042,63006006.34786042,2.731746272928323,Mega Whale Orders
2025-09-24,1.260122622,2306436984.0,0,0.0,0.0,,,Normal
2025-09-25,1.260122622,2306436984.0,8181,51562347.07962841,64974879.99845538,7942.168438877324,0.0003443479485445,Retail Orders
2025-09-26,1.260122622,2306436984.0,4004,6318887.129133878,7962572.617286235,1988.654499821737,8.622193077969378e-05,Retail Orders
2025-09-27,1.198542521,2191285826.0,3522,4961898.630365395,5947046.4933845885,1688.5424455947157,7.70571518128697e-05,Retail Orders
2025-09-28,1.628892614,3005036069.0,3065,3269477.6035547988,5325627.920068832,1737.5621272655244,5.78216729306594e-05,Retail Orders
2025-09-29,1.447191105,2675253867.0,1971,2115700.072370992,3061822.325583156,1553.435984567811,5.80668625034011e-05,Retail Orders
2025-09-30,1.183129689,2131221208.0,1628,2268468.3999681934,2683892.3125606966,1648.5825015729097,7.73538896565311e-05,Retail Orders
2025-10-01,1.016597878,1826772274.0,1578,2163394.471079056,2199302.2285759007,1393.7276480202158,7.629454792240929e-05,Retail Orders
2025-10-02,0.946997589,1714503538.0,1148,942949.115180438,892970.5386255579,777.8489012417751,4.536875451124179e-05,Retail Orders
2025-10-03,0.92814058,1664766467.0,1032,893898.142790233,829663.1407102497,803.9371518510171,4.8291286963495584e-05,Retail Orders
2025-10-04,0.867113449,1561122606.0,1111,974346.684490999,844869.114110705,760.458248524487,4.8712269337574816e-05,Retail Orders
2025-10-05,0.865789853,1557695930.0,963,1541932.081792931,1334989.1504314858,1386.281568464679,8.899564682464561e-05,Retail Orders
2025-10-06,0.925634075,1665456761.0,1047,912790.854101695,844910.3179048824,806.9821565471656,4.8454104330071255e-05,Retail Orders
2025-10-07,1.041551355,1872224192.0,1034,724491.5263466369,754595.1309523579,729.7825250989922,3.897944104222921e-05,Retail Orders
2025-10-08,0.919568175,1657309934.0,865,808074.196228356,743079.3138903012,859.051229930984,5.183407233055202e-05,Retail Orders
2025-10-09,0.882224512,1585136649.0,867,1460106.894526562,1288142.0924915315,1485.7463581217205,9.37298597606092e-05,Retail Orders
2025-10-10,0.748479913,1348121238.0,2069,1050702.012932656,786429.3512287593,380.1011847408213,2.819488144142873e-05,Retail Orders
2025-10-11,0.483354619,881352607.4,1058,2590429.643537408,1252096.1333983291,1183.4557026449236,0.0001342772112669,Retail Orders
2025-10-12,0.398551334,717648394.2,773,1298516.064811878,517525.3098512045,669.5023413340291,9.329113626462691e-05,Retail Orders
2025-10-13,0.454090325,818389482.6,546,951274.3911501162,431964.4974415334,791.1437682079367,9.667081322874476e-05,Retail Orders
2025-10-14,0.464090189,833861517.4,1448,1240293.926372311,575608.2427056779,397.519504630993,4.767212496752078e-05,Retail Orders
2025-10-15,0.471622781,845962342.0,653,1237466.239030779,583617.2690453067,893.747732075508,0.0001056486426999,Retail Orders
2025-10-16,0.466152505,839323408.6,532,1355734.563307635,631979.0628009351,1187.9305691746902,0.0001415343069194,Retail Orders
2025-10-17,0.431320678,775605434.6,407,767436.8674310234,331011.3899825451,813.2957984829118,0.0001048594765071,Retail Orders
2025-10-18,0.405490282,730574724.0,253,213814.87829689105,86699.855296402,342.6871750845929,4.690651946023155e-05,Retail Orders
2025-10-19,0.414533131,746135652.4,262,377571.1545781421,156515.75288256223,597.3883697807719,8.006431107523523e-05,Retail Orders
2025-10-20,0.413901603,745434910.7,302,652742.0723423859,270170.9900880555,894.6059274438924,0.0001200112732315,Retail Orders
2025-10-21,0.398757648,717631982.9,299,1670521.424274307,666133.1940772329,2227.8702143051264,0.000310447453206,Retail Orders
2025-10-22,0.397258636,715060475.1,376,1630008.331083662,647534.886274932,1722.167250731202,0.0002408421819833,Retail Orders
2025-10-23,0.343330566,617921866.1,304,976219.361750723,335165.9460100345,1102.5195592435346,0.0001784237813434,Retail Orders
2025-10-24,0.360644001,648806787.8,320,1131851.615306387,408195.49508240825,1275.6109221325255,0.0001966087510363,Retail Orders
2025-10-25,0.384964594,692437919.1,236,359483.486193714,138388.4143122677,586.3915860689309,8.468507715913315e-05,Retail Orders
2025-10-26,0.392941458,741439505.7,290,256457.860764018,100772.92572417425,347.4928473247387,4.686732291081083e-05,Retail Orders
2025-10-27,0.386498461,730052583.5,312,506982.5223822792,195947.96465464897,628.03834825208,8.602645377147412e-05,Retail Orders
2025-10-28,0.350362005,662184827.0,282,645489.80243329,226155.1013875813,801.9684446368133,0.0001211094564443,Retail Orders
2025-10-29,0.371092145,701028511.5,236,1195246.992160892,443546.7701257836,1879.435466634676,0.0002680968656486,Retail Orders
2025-10-30,0.333366792,629642016.1,410,1482611.391094429,494253.4032318072,1205.496105443432,0.0001914573796885,Retail Orders
2025-10-31,0.297372206,562112787.1,280,956975.96075613,284578.0525390197,1016.350187639356,0.0001808089427893,Retail Orders
2025-11-01,0.304152005,573888719.8,237,428074.70308806695,130199.77923401524,549.3661571055496,9.572694812628543e-05,Retail Orders
2025-11-02,0.302409025,571508780.9,348,966268.8779738812,292208.42927592533,839.6793944710498,0.0001469232709161,Retail Orders
2025-11-03,0.266388854,502253981.5,319,1255340.0971180107,334408.6098515156,1048.3028521991084,0.0002087196698905,Retail Orders
2025-11-04,0.272858605,516158372.1,235,514083.1484527079,140272.01074081377,596.902173365165,0.0001156432222413,Retail Orders
2025-11-05,0.248665587,469676555.0,358,834222.887009854,207442.52388714,579.4483907462011,0.0001233717937541,Retail Orders
2025-11-06,0.305206408,576980356.7,299,1014789.5519042106,309720.27401261363,1035.8537592395105,0.0001795301602924,Retail Orders
2025-11-07,0.255361877,482812280.8,304,960527.888149936,245282.2044288137,806.8493566737293,0.0001671145057322,Retail Orders
2025-11-08,0.335344577,636394415.1,262,531570.5831283953,178259.31234483502,680.3790547512787,0.0001069115376577,Retail Orders
2025-11-09,0.302638256,572831183.5,214,316110.403816718,95667.10131454728,447.0425295072303,7.804088575901181e-05,Retail Orders
2025-11-10,0.318994395,603249528.9,252,2262295.970704172,721659.7344857149,2863.7291051020434,0.0004747171722328,Retail Orders
2025-11-11,0.309990292,587580753.2,217,625510.5821212971,193902.2080008709,893.5585622159947,0.0001520741714818,Retail Orders
2025-11-12,0.263801777,499041239.2,267,511178.9542254629,134849.91648967878,505.05586700254224,0.0001012052366277,Retail Orders
2025-11-13,0.258833366,488784767.1,248,513412.579189108,132888.3060182584,535.8399436220096,0.0001096269727882,Retail Orders
2025-11-14,0.244577451,461976826.1,245,264921.76314889826,64793.88954538328,264.4648552872787,5.724634664467613e-05,Retail Orders
2025-11-15,0.230497275,436274667.6,149,212795.392736394,49048.7581582936,329.1862963643866,7.545391030271833e-05,Retail Orders
2025-11-16,0.230331997,435207663.3,166,331741.4274766258,76410.6654783219,460.3052137248307,0.0001057667988276,Retail Orders
2025-11-17,0.230901823,436297561.4,179,419111.1230472071,96773.52235117742,540.6342030792035,0.0001239141015009,Retail Orders
2025-11-18,0.244673358,461991497.5,238,293477.84219205007,71806.20914772297,301.70676112488644,6.530569561507708e-05,Retail Orders
2025-11-19,0.251319293,474671849.1,199,865658.0911174112,217556.57943935736,1093.2491429113436,0.0002303168272953,Retail Orders
2025-11-20,0.23887096,451086629.1,185,244166.99446563705,58324.4043683214,315.26705063957513,6.989057761889114e-05,Retail Orders
2025-11-21,0.227093862,429040426.2,226,649384.1145443369,147471.14649332385,652.5271968731143,0.0001520899097207,Retail Orders
2025-11-22,0.206941733,390312019.7,126,188969.08938965813,39105.59084172776,310.36183207720444,7.951633985439482e-05,Retail Orders
2025-11-23,0.203699266,384624033.8,169,211152.494478489,43011.60813933727,254.50655703749865,6.617021680185462e-05,Retail Orders
2025-11-24,0.19528361,369444201.3,188,408505.80548226926,79774.48840053534,424.3323851092305,0.0001148569617864,Retail Orders
2025-11-25,0.20185888,381386193.7,157,233355.7175251278,47104.92378121867,300.0313616638132,7.866864784828031e-05,Retail Orders
2025-11-26,0.214159512,424703148.7,135,256307.09523087705,54890.60243678215,406.5970550872752,9.573676492200568e-05,Retail Orders
2025-11-27,0.218340166,431828328.7,123,173149.11698564398,37805.40694539893,307.36103207641406,7.11766717578976e-05,Retail Orders
2025-11-28,0.212325092,419718149.0,117,199088.13223123684,42271.40599210552,361.2940683085942,8.608016335948203e-05,Retail Orders
2025-11-29,0.22291255,441223253.3,103,102288.85509752894,22801.469526370674,221.3734905472881,5.0172670839895664e-05,Retail Orders
2025-11-30,0.21054215,416576450.4,101,161339.74343990305,33968.816464285585,336.32491548797606,8.073546048151166e-05,Retail Orders
2025-12-01,0.19876767,398677274.2,164,524299.7746322881,104213.844585185,635.4502718608842,0.0001593896399377,Retail Orders
2025-12-02,0.185846861,368116920.2,119,64214.78927607602,11934.11701673519,100.28669761962344,2.724316436341397e-05,Retail Orders
2025-12-03,0.186372081,368714881.2,123,1968752.684249782,366920.5347379677,2983.093778357461,0.0008090516359548,Normal
2025-12-04,0.187915734,373225781.0,163,318495.40493971,59850.29779487282,367.1797410728394,9.83800583360128e-05,Retail Orders
2025-12-05,0.189950589,375420494.2,105,85091.831795169,16163.243568581278,153.93565303410742,4.100352948555344e-05,Retail Orders
2025-12-06,0.17436707,344688531.3,102,448078.2236907489,78130.08699576049,765.9812450564754,0.000222224175016,Retail Orders
2025-12-07,0.177059996,350185326.2,103,95716.158601305,16947.502659082427,164.53886076779057,4.6986223709961546e-05,Retail Orders
2025-12-08,0.165138933,326521096.4,107,238298.31448911183,39352.329390430365,367.7787793498165,0.0001126355336315,Retail Orders
2025-12-09,0.164519786,325436128.5,112,331252.3108620401,54497.55929502831,486.58535084846704,0.0001495179263258,Retail Orders
2025-12-10,0.177864635,352058467.4,101,1116300.101580874,198550.31011814508,1965.8446546351,0.0005583858468603,Normal
2025-12-11,0.170399177,336987043.1,102,183877.0966748529,31332.505942544365,307.1814308092585,9.115526460110908e-05,Retail Orders
2025-12-12,0.163455134,323769098.2,115,76648.321452931,12528.561653963914,108.94401438229492,3.3648675858187545e-05,Retail Orders
2025-12-13,0.148199927,293442169.8,89,160773.84414825198,23826.67196628033,267.71541535146434,9.123276846471312e-05,Retail Orders
2025-12-14,0.156472782,309246680.6,85,182039.52962073704,28484.23163372813,335.1086074556251,0.0001083628793704,Retail Orders
2025-12-15,0.151620355,299851344.1,129,614159.8257486292,93119.13080674528,721.853727184072,0.0002407371990779,Retail Orders
2025-12-16,0.135053541,266976569.0,82,209900.351769678,28347.78576364064,345.7047044346419,0.0001294887808804,Retail Orders
2025-12-17,0.133456358,263360996.7,100,178228.020293692,23785.662481946227,237.85662481946227,9.031581281962178e-05,Retail Orders
2025-12-18,0.125153237,247539746.7,106,215033.66047589303,26912.158672516976,253.8882893633677,0.0001025646558776,Retail Orders
2025-12-19,0.119270795,235732162.7,94,208039.4599027201,24813.031773968047,263.9684231273196,0.0001119781111342,Retail Orders
2025-12-20,0.131006849,258859140.6,72,340199.370453798,44568.447554935774,619.0062160407747,0.0002391285911735,Retail Orders
2025-12-21,0.136350934,269653109.9,71,105181.44124194898,14341.587752805865,201.99419370149104,7.490890565897793e-05,Retail Orders
2025-12-22,0.12944225,256165007.9,78,447876.5949692999,57974.15417516487,743.2583868610881,0.0002901482887745,Retail Orders
2025-12-23,0.128358413,253653346.7,119,125613.57238177302,16123.558802185014,135.49209077466398,5.341624407381178e-05,Retail Orders
2025-12-24,0.130133425,258135103.6,85,98827.89995912297,12860.81310723803,151.30368361456505,5.861414488167468e-05,Retail Orders
2025-12-25,0.133001361,263670304.1,90,157203.742108082,20908.311654667912,232.31457394075457,8.810797815617742e-05,Retail Orders
2025-12-26,0.133703453,277464738.2,77,73896.88085184118,9880.268135820746,128.31517059507462,4.6245577520046334e-05,Retail Orders
2025-12-27,0.13969598,288486854.0,98,75211.64326625296,10506.764213489609,107.2118797294858,3.7163523482247055e-05,Retail Orders
2025-12-28,0.153303534,316822194.3,117,349749.407377086,53617.82016531295,458.271967224897,0.0001446464217058,Retail Orders
2025-12-29,0.155615425,321926584.3,93,403536.9352036929,62796.57167492015,675.231953493765,0.0002097471866021,Retail Orders
2025-12-30,0.15891402,328669812.7,102,209750.35369757304,33332.2719025032,326.78697943630584,9.942713532215606e-05,Retail Orders
2025-12-31,0.163863629,338658917.1,148,401570.747876944,65802.84004736009,444.6137841037844,0.0001312866018444,Retail Orders
2026-01-01,0.161469826,331235431.4,97,258791.891384783,41787.08167211182,430.7946564135239,0.0001300569370229,Retail Orders
2026-01-02,0.170638487,352783978.8,141,342375.8995062841,58422.50547701637,414.34401047529343,0.0001174497809919,Retail Orders
2026-01-03,0.195910044,404167660.9,99,168156.37045785598,32943.52193527887,332.7628478310997,8.233287321655173e-05,Retail Orders
2026-01-04,0.199029163,410134148.2,118,256336.88542684703,51018.515752532265,432.3603029875616,0.0001054192402376,Retail Orders
2026-01-05,0.191975518,396796139.0,82,258008.1078846,49531.24015934597,604.0395141383656,0.0001522291813777,Retail Orders
2026-01-06,0.190164673,393016078.1,117,300949.367364785,57229.93803448121,489.1447695254804,0.0001244592261696,Retail Orders
2026-01-07,0.210178799,434837722.4,91,180343.203215126,37904.31785956812,416.5309654897595,9.578997957923244e-05,Retail Orders
2026-01-08,0.17864193,368456884.5,116,320288.7761269719,57217.00512466017,493.2500441781049,0.0001338691350135,Retail Orders
2026-01-09,0.165247889,341684811.3,74,209320.014586351,34589.69053584371,467.4282504843744,0.0001368010034469,Retail Orders
2026-01-10,0.169055627,349381629.6,54,152254.394638966,25739.46214919584,476.6567064665896,0.0001364286688491,Retail Orders
