day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2021-09-02,8.634976806,186318852.6,6460,202900428.0632362,1752040490.253516,271213.6981816588,0.1455642810145015,Big Whale Orders
2021-09-03,8.634976806,186318852.6,2954,1803744.9356263797,15575295.68307375,5272.6119441685005,0.002829886439612231,Normal
2021-09-04,12.06177424,260259637.8,3084,428730.3079054022,5171248.183800649,1676.7990219846463,0.0006442793189750018,Normal
2021-09-05,14.62932972,315089413.7,2126,272258.7678146715,3982963.283521753,1873.4540374043993,0.0005945785405498057,Normal
2021-09-06,13.36213703,286154282.1,1825,182228.49336345852,2434962.0990929785,1334.22580772218,0.0004662609966660988,Retail Orders
2021-09-07,13.2624157,286166150.8,2103,556630.1108564499,7382259.921315322,3510.34708574195,0.0012266814491960346,Normal
2021-09-08,10.68559984,230492900.4,1718,338914.559798407,3621505.365955529,2107.9775121976304,0.0009145520354594099,Normal
2021-09-09,11.50267866,250165068.4,1863,684708.7628109496,7875984.874300512,4227.581789747994,0.0016899169083784014,Normal
2021-09-10,12.81642407,274322559.5,1823,418755.2576351729,5366944.963394482,2944.0180819497978,0.0010731957617032214,Normal
2021-09-11,11.20803334,242106391.2,1733,1121857.2533983104,12573813.49880909,7255.518464402245,0.002996830619976729,Normal
2021-09-12,11.71709627,252694277.9,1386,822679.3582228986,9639413.239639519,6954.84360724352,0.0027522758588129945,Normal
2021-09-13,11.5662824,249831699.9,1445,368516.04409212,4262360.634900312,2949.730543183607,0.001180687056272,Normal
2021-09-14,10.20890253,221342523.4,959,515120.1086026409,5258810.979967375,5483.640229371611,0.0024774454294360006,Normal
2021-09-15,9.225051574,199557426.5,1214,849560.5290523097,7837239.695742281,6455.716388585075,0.003235016857959468,Normal
2021-09-16,9.061586505,195388235.1,1068,541395.4271464,4905901.496498529,4593.540727058547,0.0023509812270465346,Normal
2021-09-17,8.592274061,185556623.0,1191,302009.06043562776,2594944.6161680254,2178.7948078656805,0.001174194039878426,Normal
2021-09-18,8.034920443,172943499.0,1118,1585509.8545993993,12739445.543298673,11394.852900982713,0.006588772036457244,Small Whale Orders
2021-09-19,8.58918249,184978448.4,883,373185.1441403706,3205355.305578597,3630.0739587526577,0.001962430753502124,Normal
2021-09-20,8.26849388,178942297.2,1109,604424.8875609,4997683.483716989,4506.477442486013,0.0025183969989215124,Normal
2021-09-21,7.282630658,156777580.3,1284,5769062.2535457,42013949.63558249,32721.144575998824,0.020871061100308883,Small Whale Orders
2021-09-22,7.140842378,153483213.5,1149,383427.2984856292,2737993.9019082366,2382.9363811211806,0.0015525713377907485,Normal
2021-09-23,7.517899903,162691707.8,1293,1935324.31292742,14549574.464430593,11252.571124849646,0.0069164994805283155,Small Whale Orders
2021-09-24,7.440620396,160626799.3,1179,185240.04104850005,1378300.8275813467,1169.0422625795986,0.0007278002597786922,Normal
2021-09-25,6.944177781,149560390.1,993,86407.80147006783,600031.1350735042,604.2609618061472,0.00040402472967750516,Retail Orders
2021-09-26,6.910752202,149376581.5,945,742321.27080319,5129998.356794584,5428.569689729718,0.0036341504372489064,Normal
2021-09-27,6.762504999,146167683.0,1115,1605901.8087527207,10859919.009593416,9739.837676765395,0.006663468611434031,Small Whale Orders
2021-09-28,6.827767455,147479777.0,980,183000.7529592987,1249486.5852959948,1274.9863115265252,0.0008645160288834212,Normal
2021-09-29,6.389365592,138010296.8,910,55714.421185249244,355979.8056992274,391.18659966948064,0.0002834474012010679,Retail Orders
2021-09-30,6.440030293,138812327.8,967,203430.97524381,1310101.6431046694,1354.8103858373004,0.0009760014887073309,Normal
2021-10-01,6.666593947,144220897.2,1275,1042087.1300910796,6947171.753711793,5448.762159773955,0.003778067024654424,Normal
2021-10-02,7.386581696,159517646.0,1544,589740.4647992,4356166.122676303,2821.351115722994,0.0017686764984752809,Normal
2021-10-03,7.878733426,169827436.8,1273,515771.88559465145,4063629.1952256286,3192.167474646998,0.0018796535676424918,Normal
2021-10-04,8.537635932,184412936.1,1692,589380.1943708889,5031913.525070045,2973.9441637529817,0.0016126548530957323,Normal
2021-10-05,9.368686221,202410381.9,1883,3767930.3306848444,35300556.970775075,18746.976617511988,0.009261865148188818,Small Whale Orders
2021-10-06,9.414921718,205439908.3,1527,599222.37876326,5641631.787729839,3694.585322678349,0.0017983776147734722,Normal
2021-10-07,8.98852565,194258435.5,1183,175421.11889521856,1576777.2267413714,1332.8632516833234,0.0006861288922937524,Normal
2021-10-08,9.058045168,195690400.1,1297,441181.2202461511,3996239.420262993,3081.1406478511894,0.001574497597366397,Normal
2021-10-09,9.060800403,195620741.5,1125,246385.18450352832,2232446.9790427983,1984.3973147047095,0.00101441048607042,Normal
2021-10-10,8.843118952,191141339.4,1120,161381.13231670993,1427112.5496851173,1274.2076336474263,0.000666631110594502,Normal
2021-10-11,8.489028089,183503734.3,1203,715307.20985536,6072262.996726368,5047.600163529815,0.0027506798064816356,Normal
2021-10-12,8.088286749,174255757.2,1116,3412372.859128734,27600250.17913818,24731.406970553926,0.014192591032828113,Small Whale Orders
2021-10-13,8.018518718,173200004.3,1127,416487.3872707881,3339611.910641729,2963.275874571188,0.00171089826847723,Normal
2021-10-14,8.119919067,175381392.4,1184,351160.914516534,2851398.205367962,2408.2755112905083,0.0013731647801026971,Normal
2021-10-15,8.195505874,176856299.2,1111,405955.00320092216,3327006.6133128465,2994.6054125228143,0.0016932421553932495,Normal
2021-10-16,8.035738883,173571959.9,1043,226844.7357686261,1822865.0636198095,1747.7133879384558,0.0010069099807050435,Normal
2021-10-17,7.468319196,161116279.6,985,289844.34986356006,2164650.1219381653,2197.614336993061,0.0013639927277671953,Normal
2021-10-18,7.535948259,162557704.7,1060,527076.1395775251,3972018.5164096914,3747.1872796317843,0.0023051428331540566,Normal
2021-10-19,7.524225118,162794624.9,937,572218.8914812095,4305503.756277033,4594.98800029566,0.0028225673931914076,Normal
2021-10-20,7.256289513,156489298.0,1198,466780.75634702423,3387096.30715112,2827.2924099758934,0.0018067001680689332,Normal
2021-10-21,7.483484867,160937968.9,1171,912833.5966504705,6831176.406622977,5833.626307961552,0.0036247669507910333,Normal
2021-10-22,7.014050514,151503491.1,1015,447889.65511612006,3141520.6656825044,3095.0942519039454,0.002042919426761609,Normal
2021-10-23,7.108703844,153550526.5,946,393027.5725726311,2793916.615945052,2953.400228271725,0.0019234061227863817,Normal
2021-10-24,6.965598127,150637210.0,931,220561.60115576402,1536343.475898711,1650.2078151436208,0.0010954848507507679,Normal
