day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2025-02-07,0.683053679,191275065.1,1,42.0,28.688254518,28.688254518,1.4998428834935476e-05,Retail Orders
2025-02-08,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-09,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-10,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-11,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-12,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-13,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-14,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-15,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-16,0.683053679,191275065.1,1,100.0,68.30536790000001,68.30536790000001,3.571054484508447e-05,Retail Orders
2025-02-17,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-18,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-19,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-20,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-21,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-22,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-23,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-24,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-25,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-26,0.683053679,191275065.1,1,500.0,341.5268395,341.5268395,0.0001785527242254,Retail Orders
2025-02-27,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-02-28,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-03-01,0.683053679,191275065.1,1,100.0,68.30536790000001,68.30536790000001,3.571054484508447e-05,Retail Orders
2025-03-02,0.683053679,191275065.1,0,0.0,0.0,,,Normal
2025-03-03,0.683053679,191275065.1,2,34.0,23.223825086,11.611912543,6.070792623664359e-06,Retail Orders
2025-03-04,0.683053679,191275065.1,9,48750012.0,33298875.04789415,3699875.005321572,1.93432165524934,Mega Whale Orders
2025-03-05,0.683053679,191275065.1,13,23989900.0,16386389.453842102,1260491.4964493923,0.6589941536762246,Mega Whale Orders
2025-03-06,0.683053679,191275065.1,10468,20380547.60304157,13921008.020292182,1329.8632040783514,0.0006952621887139,Normal
2025-03-07,0.683053679,191275065.1,2218,1987032.660315781,1357249.9689218514,611.9251437880304,0.0003199189311309,Retail Orders
2025-03-08,0.643276223,180783124.3,530,959348.8319774212,617126.2931738971,1164.3892324035794,0.0006440807110244,Normal
2025-03-09,0.591973089,165727311.4,263,2709914.4458021973,1604196.4254072497,6099.606180255702,0.0036805075329639,Normal
2025-03-10,0.489570369,136938521.3,220,5003409.478584848,2449521.024688882,11134.186475858554,0.0081307921030242,Small Whale Orders
2025-03-11,0.46256473,129993799.2,200,3406949.676997974,1575934.757464155,7879.673787320776,0.0060615766565893,Small Whale Orders
2025-03-12,0.465801985,130480425.3,535,10034860.923616476,4674258.137419487,8736.93109798035,0.0066959707388234,Small Whale Orders
2025-03-13,0.588144886,164696599.9,215,3283072.4392958186,1930922.2655393807,8981.033793206425,0.0054530778405015,Small Whale Orders
2025-03-14,0.537318309,150412091.3,132,4014540.951142151,2157086.355278952,16341.563297567818,0.0108645276828006,Small Whale Orders
2025-03-15,0.561132756,157112975.4,254,4887681.514802151,2742638.1988511863,10797.78818445349,0.006872626628681,Small Whale Orders
2025-03-16,0.822146115,230552018.3,154,4423329.124510417,3636622.855082591,23614.434123912924,0.0102425623067785,Small Whale Orders
2025-03-17,0.77919643,218175000.3,109,3536467.8701754394,2755603.139250406,25280.76274541657,0.0115873783479566,Small Whale Orders
2025-03-18,0.719798374,201591403.0,112,1137914.393385613,819068.9301101608,7313.11544741215,0.0036276921230674,Normal
2025-03-19,0.689458675,193028124.0,98,2625629.310290321,1810262.9053139288,18472.070462387022,0.0095696264770137,Small Whale Orders
2025-03-20,0.721828932,202026499.0,62,1235623.3521822284,891908.6846599578,14385.623946128351,0.007120661901946,Small Whale Orders
2025-03-21,0.671438398,188520644.3,78,1649778.0219726583,1107724.3121289306,14201.5937452427,0.0075331769621173,Small Whale Orders
2025-03-22,0.585311118,164419717.6,54,1010146.170449252,591249.7843690703,10949.07008090871,0.0066592196123007,Small Whale Orders
2025-03-23,0.606800617,170034679.0,47,1205494.6829606793,731494.9174107596,15563.72164703744,0.0091532631687665,Small Whale Orders
2025-03-24,0.585650969,164160500.3,53,9823295.832702031,5753022.723195607,108547.59855086052,0.066122848281098,Big Whale Orders
2025-03-25,0.609513543,170355823.9,132,6611692.059407595,4029915.85235449,30529.66554814008,0.0179211164310186,Small Whale Orders
2025-03-26,0.657189772,182586751.6,65,1633813.9091156886,1073725.790422168,16518.8583141872,0.0090471286494957,Small Whale Orders
2025-03-27,0.585171735,163767097.2,85,1417973.4061978688,829757.9582886667,9761.858332807844,0.0059608178319764,Small Whale Orders
2025-03-28,0.561411173,157006043.1,63,268826.3146760598,150922.09665555388,2395.588835802442,0.0015257940321931,Normal
2025-03-29,0.539486255,150999710.0,39,927452.4461678474,500347.8468736811,12829.431971120028,0.0084963288811084,Small Whale Orders
2025-03-30,0.563533646,157334617.9,47,340198.45150603383,191713.27374074943,4079.005824271264,0.0025925672803068,Normal
2025-03-31,0.525790875,147381582.6,31,114069.17927327096,59976.53358062501,1934.7268896975809,0.0013127331485837,Normal
2025-04-01,0.507903922,142164054.4,44,945973.0581253408,480463.4263281946,10919.623325640789,0.0076810016228974,Small Whale Orders
2025-04-02,0.486090738,136011877.2,66,526054.6236618095,255710.28024408125,3874.398185516384,0.0028485734226131,Normal
2025-04-03,0.418824255,117036452.2,36,86558.52529565297,36252.809870850506,1007.022496412514,0.0008604349136383,Normal
2025-04-04,0.416821819,116829874.2,52,534387.2042182629,222744.2465125808,4283.543202165016,0.0036664793414328,Normal
2025-04-05,0.415854953,116428820.0,34,125659.53824199764,52256.14136962764,1536.9453344008127,0.0013200729290229,Normal
2025-04-06,0.40564746,112993860.5,54,914908.6548807678,371130.3719844,6872.784666377778,0.0060824407945401,Small Whale Orders
