day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2020-09-17,3.443832391,219913212.5,73686,79463204.22292162,273657956.5955455,3713.8392177014016,0.0016887749378411,Small Whale Orders
2020-09-18,3.443832391,219913212.5,31967,62849487.64676659,216443101.31568912,6770.829333865834,0.0030788642741808,Small Whale Orders
2020-09-19,7.097694014,732822061.0,12520,26691826.062392984,189450414.06577587,15131.822209726508,0.0020648699070382,Small Whale Orders
2020-09-20,5.702060554,647208421.1,8518,14676217.581573809,83684681.35381329,9824.451908172492,0.0015179734360493,Small Whale Orders
2020-09-21,5.256579383,632421347.5,6364,10397668.246331826,54656168.53494164,8588.335722020998,0.0013580085106189,Small Whale Orders
2020-09-22,4.294819486,526520586.5,5160,12526167.607726997,53797628.72656789,10425.897040032538,0.0019801499328521,Small Whale Orders
2020-09-23,3.908448812,487186362.8,5367,8506126.624482417,33245760.50017988,6194.477454849986,0.0012714800593449,Small Whale Orders
2020-09-24,4.342896875,558449301.6,4417,10560442.22137264,45862911.5218173,10383.271795747632,0.0018593042852768,Small Whale Orders
2020-09-25,5.138560549,670712373.9,4217,4989794.981087555,25640363.63741472,6080.2379979641255,0.0009065343408843,Normal
2020-09-26,4.908146351,646853075.5,4616,14417922.634695634,70765274.36848168,15330.432055563622,0.0023700021900202,Small Whale Orders
2020-09-27,4.868443821,691125372.2,3590,3605334.839330972,17552370.1211769,4889.239588071559,0.0007074316447836,Normal
2020-09-28,4.844985391,689402232.1,3446,13544811.412478214,65624413.41730702,19043.64869916048,0.0027623421875428,Small Whale Orders
2020-09-29,4.251913706,622352706.3,2878,8701896.929413257,36999714.82237154,12856.051015417492,0.0020657178614758,Small Whale Orders
2020-09-30,4.341487121,641030584.1,2723,5067921.636891847,22002316.51680319,8080.174996989787,0.0012604975795865,Small Whale Orders
2020-10-01,4.153261218,620840802.3,2751,3719141.9545340585,15446568.044003025,5614.892055253735,0.0009044012626832,Normal
2020-10-02,4.243965218,636514926.1,2609,18518409.9414156,78591487.6840332,30123.222569579608,0.0047325241458433,Small Whale Orders
2020-10-03,3.900844836,643770086.0,2096,16980615.392395973,66238745.86552995,31602.455088516195,0.0049089660696841,Small Whale Orders
2020-10-04,3.894488447,704073930.2,2179,4356707.744728081,16967147.978798937,7786.667268838429,0.0011059445513948,Small Whale Orders
2020-10-05,3.72120773,676286308.2,2375,3375189.1731694485,12559780.04141046,5288.328438488616,0.000781965918039,Normal
2020-10-06,3.32152359,604064456.4,2739,5606894.894681955,18623433.65933668,6799.3551147633,0.0011256009259814,Small Whale Orders
2020-10-07,2.692316035,484435475.8,2742,5725488.507161172,15414824.516038235,5621.744900086885,0.0011604734130594,Small Whale Orders
2020-10-08,2.963310646,540709193.0,2410,4309308.837085667,12769820.75383784,5298.680810721095,0.0009799501986127,Normal
2020-10-09,3.308742648,603384806.4,2147,2763768.1810260946,9144597.649746424,4259.244364111049,0.0007058918817533,Normal
2020-10-10,3.406370228,624766817.7,1899,1569254.8388565972,5345462.963226051,2814.8830770016066,0.0004505493885485,Normal
2020-10-11,3.298512186,605086419.1,1606,1573704.2171776292,5190882.537520001,3232.1809075467004,0.000534168476687,Normal
2020-10-12,3.374035991,620284007.0,1807,3264744.306253406,11015364.79071132,6095.940670011798,0.0009827660557451,Normal
2020-10-13,3.449721634,636858098.8,1513,4109918.620232446,14178075.178195298,9370.836205020025,0.0014714166660794,Small Whale Orders
2020-10-14,3.349952701,619474718.5,1895,4386273.774430001,14693809.677977243,7753.989275977438,0.0012517039104925,Small Whale Orders
2020-10-15,3.122753139,577560863.2,1826,6909901.741921907,21577917.3547682,11817.041267671524,0.0020460252798637,Small Whale Orders
2020-10-16,3.07752357,573329621.3,2075,4545721.520654932,13989565.122471793,6741.959095167129,0.0011759307115303,Small Whale Orders
2020-10-17,3.035579229,568053942.0,1702,5682425.641005878,17249453.24617446,10134.81389316948,0.0017841287849331,Small Whale Orders
2020-10-18,3.072774172,573608919.3,1624,1741881.3190479183,5352407.927859736,3295.817689568803,0.0005745757394412,Normal
2020-10-19,3.26603256,658475452.7,1549,4874390.615263631,15919918.459609453,10277.545809948,0.0015608092553497,Small Whale Orders
2020-10-20,3.170928183,638986846.2,1745,7985348.750610978,25320967.40439619,14510.583039768591,0.0022708735126648,Small Whale Orders
2020-10-21,2.853285481,574630017.2,1915,2365518.521664188,6749499.652901012,3524.5428996872124,0.0006133586471624,Normal
2020-10-22,2.931042631,590704390.9,1985,2263499.762179512,6634414.298206511,3342.274205645597,0.0005658116406673,Normal
2020-10-23,3.030530337,613902134.5,1535,3245178.4809176363,9834611.835400471,6406.913247817897,0.001043637558458,Small Whale Orders
2020-10-24,3.008704208,608790596.9,1638,1553672.6280451836,4674541.373853963,2853.8103625482067,0.000468767155255,Normal
2020-10-25,2.941282437,594863487.5,1636,1994882.6128721947,5867513.193117657,3586.499506795634,0.000602911353976,Normal
2020-10-26,2.772325305,582236710.7,1697,3186066.3503484777,8832812.36648008,5204.957198868639,0.0008939589522981,Normal
2020-10-27,2.710675936,569460992.2,1570,2425142.1018269463,6573774.336802765,4187.117411976284,0.000735277300698,Normal
2020-10-28,2.817177653,595487146.9,1391,1846169.394246362,5200987.161123398,3739.027434308697,0.000627893893894,Normal
2020-10-29,2.670454129,563330287.0,1393,2819794.900752395,7530132.935647378,5405.694856889719,0.000959595992198,Normal
2020-10-30,2.537363185,536652174.2,2138,2959103.665533068,7508320.701522158,3511.8431718999805,0.0006543983870251,Normal
2020-10-31,2.409993546,509800102.7,1672,3987693.988700361,9610316.776190866,5747.79711494669,0.0011274609566583,Small Whale Orders
