day,bucket,flow_type,net_qty,price,usd_value
2023-07-23,Top 1-100,INFLOW,2.0,0.0,0.0
2023-07-24,Top 1-100,INFLOW,22438668.659864176,2.186257925,49056717.18407719
2023-07-24,Top 101-200,INFLOW,143046.46267822164,2.186257925,312736.46267347876
2023-07-24,Top 201-300,INFLOW,73877.77332798143,2.186257925,161515.86741965302
2023-07-24,Top 301-500,INFLOW,73075.58180703118,2.186257925,159762.06984960774
2023-07-24,Top 501-1000,INFLOW,61905.7851773853,2.186257925,135342.01344740615
2023-07-25,Top 1-100,INFLOW,1542953.9443675028,2.186257925,3373295.2887834623
2023-07-25,Top 101-200,INFLOW,123086.772267088,2.186257925,269099.4313315914
2023-07-25,Top 201-300,INFLOW,56066.85499375875,2.186257925,122576.6060599309
2023-07-25,Top 301-500,INFLOW,69042.09217543347,2.186257925,150943.82117712192
2023-07-25,Top 501-1000,INFLOW,63993.98078584143,2.186257925,139907.34764534354
2023-07-26,Top 1-100,OUTFLOW,-948558.8258383796,2.280030981,2162743.5102124885
2023-07-26,Top 101-200,INFLOW,73297.50181325988,2.280030981,167120.5749641362
2023-07-26,Top 201-300,INFLOW,33138.37181470642,2.280030981,75556.51439742783
2023-07-26,Top 301-500,INFLOW,42121.64188415167,2.280030981,96038.64846645301
2023-07-26,Top 501-1000,INFLOW,46924.98168639444,2.280030981,106990.41202783695
2023-07-27,Top 1-100,OUTFLOW,-65036.50020808517,2.240588708,145720.0479740753
2023-07-27,Top 101-200,INFLOW,12804.146890911477,2.240588708,28688.82693934957
2023-07-27,Top 201-300,INFLOW,6121.417575490508,2.240588708,13715.579096596772
2023-07-27,Top 301-500,INFLOW,8081.5892170311945,2.240588708,18107.51754237466
2023-07-27,Top 501-1000,INFLOW,7924.572085978129,2.240588708,17755.706731574603
2023-07-28,Top 1-100,INFLOW,60686.10389090207,2.101936484,127558.33584010141
2023-07-28,Top 101-200,INFLOW,31127.523971694627,2.101936484,65428.07829268952
2023-07-28,Top 201-300,INFLOW,15784.592206858244,2.101936484,33178.21024465741
2023-07-28,Top 301-500,INFLOW,11389.930853852557,2.101936484,23940.91121194996
2023-07-28,Top 501-1000,INFLOW,16163.382190751077,2.101936484,33974.40273157554
2023-07-29,Top 1-100,INFLOW,212772.83926282628,2.221848622,472749.0397151381
2023-07-29,Top 101-200,INFLOW,54087.87049210296,2.221848622,120175.06051979342
2023-07-29,Top 201-300,INFLOW,23334.43556906848,2.221848622,51845.58351428258
2023-07-29,Top 301-500,INFLOW,20991.680330085383,2.221848622,46640.33601486471
2023-07-29,Top 501-1000,INFLOW,17049.782234061044,2.221848622,37882.03516214861
2023-07-30,Top 1-100,INFLOW,476468.41799316875,2.349079018,1119261.9634474064
2023-07-30,Top 101-200,INFLOW,51238.85630264087,2.349079018,120364.1222468507
2023-07-30,Top 201-300,INFLOW,8181.519924388638,2.349079018,19219.036789730297
2023-07-30,Top 301-500,INFLOW,10853.792938525497,2.349079018,25496.41725760681
2023-07-30,Top 501-1000,INFLOW,14151.964218347579,2.349079018,33244.08220880706
2023-07-31,Top 1-100,OUTFLOW,-4605.626850291097,2.285819272,10527.630614036048
2023-07-31,Top 101-200,INFLOW,21586.89589918506,2.285819272,49343.74266901497
2023-07-31,Top 201-300,INFLOW,7890.661057867263,2.285819272,18036.625114892897
2023-07-31,Top 301-500,INFLOW,3434.976455295544,2.285819272,7851.7353803808
2023-07-31,Top 501-1000,INFLOW,4014.788065411738,2.285819272,9177.079932913746
2023-08-01,Top 1-100,INFLOW,920821.8577689433,2.31930471,2135666.4717944604
2023-08-01,Top 101-200,OUTFLOW,-930.9062710179169,2.31930471,2159.055298940391
2023-08-01,Top 201-300,INFLOW,7808.203257289548,2.31930471,18109.60259126899
2023-08-01,Top 301-500,OUTFLOW,-1176.1767481119514,2.31930471,2727.912271688532
2023-08-01,Top 501-1000,INFLOW,9129.278279378357,2.31930471,21173.57811226292
2023-08-02,Top 1-100,INFLOW,407017.58783703065,2.42951343,988854.6958962707
2023-08-02,Top 101-200,INFLOW,27484.09021530067,2.42951343,66772.96628940456
2023-08-02,Top 201-300,INFLOW,13040.53842955592,2.42951343,31682.163249037218
2023-08-02,Top 301-500,INFLOW,12490.174835194313,2.42951343,30345.047505152623
2023-08-02,Top 501-1000,INFLOW,14955.468987993776,2.42951343,36334.51275827939
2023-08-03,Top 1-100,INFLOW,162866.9873274009,2.358061208,384050.3248805716
2023-08-03,Top 101-200,OUTFLOW,-16305.74469586237,2.358061208,38449.94403486481
2023-08-03,Top 201-300,OUTFLOW,-874.0135467456166,2.358061208,2060.9774398473332
2023-08-03,Top 301-500,OUTFLOW,-4492.642021703059,2.358061208,10593.924872808679
2023-08-03,Top 501-1000,INFLOW,6299.070113907827,2.358061208,14853.59288207819
2023-08-04,Top 1-100,INFLOW,191768.56504087592,2.330925737,446998.28380133613
2023-08-04,Top 101-200,OUTFLOW,-4179.235437589072,2.330925737,9741.487442458823
2023-08-04,Top 201-300,OUTFLOW,-21003.600113231318,2.330925737,48957.832073586986
2023-08-04,Top 301-500,INFLOW,14468.299663473757,2.330925737,33724.53205621942
2023-08-04,Top 501-1000,INFLOW,1722.5437730916656,2.330925737,4015.121613808451
2023-08-05,Top 1-100,INFLOW,124334.98264088966,2.169352016,269726.34525133896
2023-08-05,Top 101-200,OUTFLOW,-15883.57216880014,2.169352016,34457.059305668074
2023-08-05,Top 201-300,OUTFLOW,-8132.011715873256,2.169352016,17641.196009965268
2023-08-05,Top 301-500,OUTFLOW,-6457.391259860986,2.169352016,14008.354747680209
2023-08-05,Top 501-1000,OUTFLOW,-1472.4595339850166,2.169352016,3194.283058528816
2023-08-06,Top 1-100,INFLOW,83414845.46977971,2.120689495,176896986.5148102
2023-08-06,Top 101-200,OUTFLOW,-18974.332570069226,2.120689495,40238.66775598216
2023-08-06,Top 201-300,OUTFLOW,-217.1544351472985,2.120689495,460.51712940953473
2023-08-06,Top 301-500,OUTFLOW,-4663.582792404723,2.120689495,9890.01103691546
2023-08-06,Top 501-1000,OUTFLOW,-6733.835488606423,2.120689495,14280.374181745834
2023-08-07,Top 1-100,INFLOW,104495.64390772796,2.041379732,213315.28955552512
2023-08-07,Top 101-200,OUTFLOW,-17139.822190582443,2.041379732,34988.885629938835
2023-08-07,Top 201-300,INFLOW,8507.67280786082,2.041379732,17367.390836454604
2023-08-07,Top 301-500,INFLOW,6001.33307481981,2.041379732,12250.999703918398
2023-08-07,Top 501-1000,OUTFLOW,-3027.9981321852083,2.041379732,6181.29401557674
2023-08-08,Top 1-100,INFLOW,450210.2069889469,2.038028603,917541.2792060243
2023-08-08,Top 101-200,OUTFLOW,-762.9103110987708,2.038028603,1554.833035542923
2023-08-08,Top 201-300,OUTFLOW,-25171.827778230294,2.038028603,51300.905001823274
2023-08-08,Top 301-500,OUTFLOW,-9276.230343120807,2.038028603,18905.22276729671
2023-08-08,Top 501-1000,OUTFLOW,-3173.0872099978315,2.038028603,6466.842493789048
2023-08-09,Top 1-100,INFLOW,29190.2950049527,1.935335436,56493.01231037875
2023-08-09,Top 101-200,OUTFLOW,-5796.968979119554,1.935335436,11219.079486682816
2023-08-09,Top 201-300,OUTFLOW,-8825.657258125253,1.935335436,17080.6072376404
2023-08-09,Top 301-500,INFLOW,1566.2412233232071,1.935335436,3031.2021408213923
2023-08-09,Top 501-1000,INFLOW,1371.2690352824038,1.935335436,2653.8655562715703
2023-08-10,Top 1-100,INFLOW,882586.3226152668,1.831576695,1616524.5398278742
2023-08-10,Top 101-200,OUTFLOW,-23544.459840042695,1.831576695,43123.48393938563
2023-08-10,Top 201-300,OUTFLOW,-775.5328760459743,1.831576695,1420.4479419721304
2023-08-10,Top 301-500,OUTFLOW,-9507.469143298344,1.831576695,17413.65891129686
2023-08-10,Top 501-1000,OUTFLOW,-7821.05567218583,1.831576695,14324.863299473127
2023-08-11,Top 1-100,INFLOW,176457090.35908377,1.678098094,296112307.00436425
2023-08-11,Top 101-200,OUTFLOW,-6166.2004382024315,1.678098094,10347.489202569466
2023-08-11,Top 201-300,OUTFLOW,-4538.937280194015,1.678098094,7616.781998679122
2023-08-11,Top 301-500,OUTFLOW,-1429.6134336885966,1.678098094,2399.0315782296293
2023-08-11,Top 501-1000,OUTFLOW,-161.66100557127993,1.678098094,271.28302532328826
2023-08-12,Top 1-100,INFLOW,304230270.8115845,1.743257554,530351717.7477603
2023-08-12,Top 101-200,INFLOW,62329.82258265665,1.743257554,108656.93405669599
2023-08-12,Top 201-300,INFLOW,9656.545924251088,1.743257554,16833.84662799862
2023-08-12,Top 301-500,INFLOW,5783.64473887492,1.743257554,10082.38238069606
2023-08-12,Top 501-1000,INFLOW,109.28490669094344,1.743257554,190.5117391271723
2023-08-13,Top 1-100,OUTFLOW,-72868.23301005305,1.756451894,127989.545882941
2023-08-13,Top 101-200,INFLOW,126011.8472089871,1.756451894,221333.747696664
2023-08-13,Top 201-300,OUTFLOW,-1966.7526891824846,1.756451894,3454.506485944168
2023-08-13,Top 301-500,INFLOW,1005.7188155823796,1.756451894,1766.4967184611075
2023-08-13,Top 501-1000,OUTFLOW,-116.36694612590236,1.756451894,204.39294292183718
2023-08-14,Top 1-100,INFLOW,25065617.75350589,1.771794064,44411112.74615475
