day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2025-08-19,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-20,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-21,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-22,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-23,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-24,0.233826919,6656403821.0,2,11746076.075399706,2746548.779050325,1373274.3895251623,0.0206308755666637,Big Whale Orders
2025-08-25,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-26,0.233826919,6656403821.0,31,9999999.98,2338269.1853234614,75428.0382362407,0.0011331649981672,Normal
2025-08-27,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-28,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-29,0.233826919,6656403821.0,1,47.0,10.989865193,10.989865193,1.6510214056317542e-07,Retail Orders
2025-08-30,0.233826919,6656403821.0,0,0.0,0.0,,,Normal
2025-08-31,0.233826919,6656403821.0,2,7.0,1.636788433,0.8183942165,1.2294840254704551e-08,Retail Orders
2025-09-01,0.233826919,6656403821.0,22740,3190752479.741941,746083821.6296679,32809.314935341594,0.0004928985052233,Normal
2025-09-02,0.233826919,6656403821.0,13596,315436177.504771,73757469.5270777,5424.938917849198,8.149954635766378e-05,Retail Orders
2025-09-03,0.227763369,6242912321.0,4396,95060576.81749769,21651317.23503657,4925.231400144807,7.889316951604847e-05,Retail Orders
2025-09-04,0.217951341,5961500776.0,732,17144317.27231774,3736626.9400311136,5104.6816120643625,8.562745865294445e-05,Retail Orders
2025-09-05,0.188456373,5185086854.0,2709,174057064.5852208,32802163.08675747,12108.587333612946,0.0002335271842991,Normal
2025-09-06,0.181590941,4961992829.0,2510,71186367.54713085,12926799.469255354,5150.119310460301,0.0001037913493216,Retail Orders
2025-09-07,0.217909648,5961347784.0,2833,77119164.04035924,16805009.890088942,5931.877829187766,9.95056494625036e-05,Retail Orders
